theta_1,se_1,alpha_1,sigma_sq_1,theta_2,se_2,alpha_2,sigma_sq_2,theta_3,se_3,alpha_3,sigma_sq_3
0.218819272063715,0.0148012137047269,56.4798090701784,1.26201064940042,NA,NA,NA,NA,NA,NA,NA,NA
0.228176137006789,0.0303222044100092,0.241748402666473,0.0378413378219517,0.170246424744122,0.018751531720545,0.527189755081659,0.00358432399589025,0.518980823811145,0.00358432399589025,0.360477206565282,0.00358432399589025
0.238656809690662,0.02130859354406,0.232598589660208,0.0155740272439878,0.174447007731564,0.0180057133760227,1.97925717725623,0.0165761960943455,2.11058554989909,0.00222771463231416,1.64009305257277,0.0241264173126585
0.232578287834226,0.031399578197896,0.227792217344133,0.0420651747291555,0.169737526370085,0.0217853522063772,0.578177156698687,0.00380569017059328,0.565344614273902,0.00380569017059328,0.340356218522928,0.00380569017059328
0.239624689749986,0.0191002487196166,0.231538146205381,0.014596702389959,0.17488787057806,0.0154610763423265,0.835967174930668,0.00229443166376526,0.852147705109618,0.000769428624936549,0.599842631655142,0.00575141759189423
0.23483591642766,0.0195253586211241,0.230487961125217,0.0192816728896149,0.174767950895467,0.0169580810634967,0.85597395470884,0.00236691616703167,0.879164642715951,0.00077318712860571,0.593189072128503,0.00653804348916018
0.238434894997592,0.0190195616748204,0.236049655101516,0.0291759963521748,0.180287346633424,0.0169914340709219,1.40396355630122,0.00170023358434713,1.2221420355623,0.00612513451334518,0.969240650570978,0.0109430077488141
0.24190034580383,0.0204866480644331,0.223625913328635,0.0191365423700748,0.172950481797183,0.0175171433581424,0.934811112267846,0.00278003760920232,0.909590229888262,0.00156189316646587,0.591491886121293,0.00659742200305793
0.24200502962113,0.024052029277306,0.191172785840506,0.0281553287915536,0.179300574973583,0.0163199175175536,0.52160972582852,0.00257919544305335,0.497464092485412,0.00257919544305335,0.33184609639729,0.00257919544305335
0.232469059384799,0.0201728013733778,0.24967777746439,0.0364166909231742,0.184938020955137,0.0143506554592873,4.337426813833,0.0370647000990704,4.337426813833,0.186220958965811,4.337426813833,0.0368995100355653
0.234639210305344,0.0231831551880252,0.233750363757578,0.0376023742483922,0.177329258335221,0.016016426547116,0.692174083854392,0.00375324923451896,0.683108987906168,0.00375324923451896,0.473977831133032,0.00375324923451896
0.229060068052068,0.0287562627943813,0.211510237075178,0.0329702511278126,0.175272108186426,0.0241461971185259,0.473202323089625,0.0035825573298186,0.457008120297833,0.0035825573298186,0.289570307597083,0.0035825573298186
0.236633059210134,0.02626293081411,0.232437404783385,0.0380506052604554,0.176069718239986,0.0179128251826498,0.718580743734405,0.00401484042021812,0.653129299853055,0.00401484042021812,0.427909724406376,0.00401484042021812
0.235291613792928,0.017561722229124,0.22301195469043,0.0361980455951941,0.176248978532385,0.0236376096323849,0.689929854611962,7.41521547995146e-05,0.479131197458587,0.00115595976045067,0.252505259210908,0.00345309170185813
-2.28805517733527e-55,0,0,0,0.21,2615282025750.41,0.00889886584828134,0.000142297879346707,1.08000710608809e-07,0.000142297879346707,11.531151773103,0.000142297879346707
0.233703870976532,0.0272562764128404,0.24279305915162,0.0412414346930128,0.177425694041567,0.0184129812908313,0.784312728304677,0.00514227968724131,0.70968679619419,0.00514227968724131,0.480418071581999,0.00514227968724131
0.242507794200302,0.0338491598514542,0.234210995882161,0.0410346367503351,0.171299975172089,0.0216920702101055,0.413513093035519,0.00305918257689044,0.439440635583128,0.00305918257689044,0.263302022465082,0.00305918257689044
0.237022001455512,0.0229691499001514,0.223550694470758,0.0106985192357598,0.174202304116541,0.0151297509877573,1.40139665565857,0.0147620623787216,1.69294786335655,0.000220600865895842,1.152329532127,0.0119849458896604
1.50455133882398e-47,NA,0,0,145,1.93825100551426e-25,0.27228572903269,0.00043787624771911,9.17345379752289e-08,1.1854250892009e-15,40.287057491959,3.74742395673506e-242
0.236477986246757,0.0186494454168456,0.248585441765509,0.0390221771321704,0.183346488918324,0.0145011322007291,3.24251834648808,0.0270268650094556,3.24251834648808,0.136843889890509,3.24251834648808,0.0278056205994514
0.242337061753098,0.0224187219311295,0.191998212707201,0.0298465430693574,0.180151656064998,0.0173399472219257,0.980787504838397,0.00706879981533111,0.999088784098539,0.00706879981533111,0.751262740272952,0.00706879981533111
0.218823516557146,0.0147997668108304,39.7975449644135,0.889131718179723,NA,NA,NA,NA,NA,NA,NA,NA
0.234086490258616,0.0181976260059265,0.240675457228817,0.0315764630209268,0.175775289726857,0.0155789177430654,1.32746584164529,0.00169452422541244,1.15642347439295,0.00580238242984817,0.92688595613684,0.00874557249749432
0.233267392352313,0.0211676937428005,0.214091090275026,0.0178166045335115,0.173258534502237,0.0221166329751838,0.741989370584658,0.000156771716647172,0.655741822576626,0.000103754558660903,0.225980861190789,0.00237399956737663
0.236593742040772,0.0186804594003208,0.249702898846053,0.0349591582193403,0.182775948673225,0.01439511275083,6.64386931638046,0.052181833668645,6.64386931638046,0.285370052516496,6.64386931638046,0.0529247258913515
0.23742797718305,0.0305303266855111,0.227144493430157,0.0411615072031113,0.177043831730514,0.023316009944056,0.604645412674669,0.00601400957976804,0.604361322346364,0.00601400957976804,0.4237955831693,0.00601400957976804
0.240395941563674,0.0190811048862859,0.207666267680285,0.0246663635663456,0.175696112043013,0.0221036655540002,0.655874616138835,0.000623789060094532,0.63178305674526,0.000419702956612423,0.344521975709367,0.00497044125645862
0.236063446679357,0.0194045391694394,0.235569399608264,0.0174137916098242,0.17711679644786,0.0241280457146172,1.26381501066398,0.00822204665138204,1.33317630409436,0.00182747110327572,1.02234527604361,0.02573056281065
0.232492508147635,0.0185589496048676,0.224295063270616,0.0263013080519597,0.171800099696766,0.0238377085729645,0.949718860150211,0.000822791042799156,0.856309928411018,0.00103222763621143,0.466654517411989,0.00711968641901047
0.235985145369175,0.0309349283210511,0.22196386137436,0.0480513041751127,0.17830463767887,0.0196308145977026,0.4266809648635,0.00196022275700657,0.404578460026493,0.00196022275700657,0.206434385261576,0.00196022275700657
0.2317164897175,0.0177745541843405,0.256020434571305,0.0389574021646394,0.182530128716769,0.015228110649323,2.67133403739817,0.0203549901783329,2.67133403739817,0.110928302666351,2.67133403739817,0.0241411333197096
0.218823273049782,0.0148010689322758,38.9378016397956,0.870074266266851,NA,NA,NA,NA,NA,NA,NA,NA
1.79992544450049e-86,0,0,0,0.21,1.76894501233686e+27,1.05357260991824e-07,5.052260109454e-20,0.00706669608698049,5.052260109454e-20,25.783986091583,5.052260109454e-20
0.255812523080778,0.0136240302284085,0.15660128105439,0.0198130571563774,0.187070581745563,0.0196431560659916,1.35157493120134,0.000650218650614689,1.02701139309007,0.0037360628303186,0.759616368405192,0.0119851530469375
