Group.1,sigma,theta,alpha
AF,0.0743206792966345,0.0649879751199973,0.0968526139601477
AFother,0.0318677525556573,23.1904345797972,0.48744223808235
other,0.0349142568994802,0.516122562419359,8.86057757110509
