Group.1,sigma,theta,alpha
AF,0.00982351629861552,0.00747094036195508,0.182177352072987
AFother,0.123232223826591,0.0813087968874573,0.11599183160908
other,0.0217722475297227,0.0106474950681434,0.113546270938893
