theta_1,se_1,theta_2,se_2,theta_3,se_3,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
0.291330407180694,0.0254207962711185,0.479323768345049,0.140456402722655,0.504482483986729,0.0394942571861772,1.09353034522122,0.00196526376238763,0.59332915638762,0.0920113402791794,0.540707152966187,0.0223098513549509
0.306700438535539,0.0677687305600199,0.489081115230394,0.0941678413472734,0.461092443897697,0.055936214235318,0.366080315306558,0.00546191101518259,0.294176123735502,0.00546191101518259,0.0949246994134545,0.00546191101518259
0.281421751440364,0.0250057511053768,0.501410128377376,0.178575069502711,0.479839710329661,0.0396005809350128,1.24438037380393,0.00186576013486806,0.756557436878193,0.122656744673171,0.567970203703193,0.0248427191077134
0.295702138665534,0.0246404898452095,0.759326461410415,0.412545959549643,0.497854071243787,0.0362027896343818,1.12106352983678,0.00071707180603325,0.356844390602632,0.392614565081,0.48368424758071,0.0162753062567428
0.282946649256684,0.026210035674984,0.572809763922611,0.157521091429019,0.494628080091868,0.0327092138359606,0.491626753054249,0.000929687256622356,0.232123407628731,0.0467044890742257,0.245034334461396,0.00759135604991136
0.295552359216765,0.0297994830930763,0.523729986364106,0.205075275306058,0.490234513960105,0.0398054278163553,0.575973114210007,0.000833265565591428,0.246101790661104,0.0475649432268628,0.210574679717294,0.0078073229128838
0.326281151190296,0.0677794284877726,0.428525777824131,0.101931455645447,0.476759449270189,0.0514557515689377,0.484219093060548,0.00790066527159949,0.397444581687985,0.00790066527159949,0.159764596540854,0.00790066527159949
0.295115623435357,0.0278700403836949,0.531623853323951,0.167281575490899,0.491500758010568,0.043440500288311,0.663982066816004,0.000866747998848913,0.275107241220542,0.0339579493538157,0.190937614853653,0.00732462793501498
0.506023565680367,0.0763457874626939,3.7002192472877e-11,5.58266791071221e-12,2.76601274252421e-11,4.17319340999317e-12,4.76445973130881e-10,7.1883298464963e-11,NA,0.00183945855518161,NA,0.0250551234286727
0.286077044448392,0.0269426754224259,0.529856152241743,0.194214827998057,0.494350656134719,0.0380602797146284,0.809416823224402,0.00205077660695498,0.402122617960554,0.0800234812035959,0.343178437855672,0.0132638773241669
0.289861614148074,0.0221664670888849,0.634361756983223,0.237547902993876,0.490460743735601,0.0397016012131744,0.876036815122714,0.000477301400724225,0.278974042088063,0.0548923439231157,0.265756840614353,0.00975206147336636
