V1,V2
model,aicc
BM,112.512052027028
BM,113.467567072045
BM,115.358004442494
BM,115.047122549697
OU,111.094931422754
BM,116.451109183984
BM,115.799879094197
BM,116.37646233762
BM,115.288261080384
BM,114.4578645382
BM,116.296917715531
BM,115.769086564407
BM,111.89435466752
BM,113.586268982741
BM,116.569938733033
OU,111.751700527908
BM,114.698709304237
BM,113.817077327757
BM,115.007220797379
BM,116.223488870052
BM,106.828819327463
BM,115.323763953377
BM,114.609005843131
BM,116.5331123321
BM,113.957428171921
BM,115.325446676015
BM,114.165351198411
BM,113.618896610143
BM,116.432469685215
BM,114.743243371161
BM,113.933088325126
BM,114.941688270108
BM,114.273007499547
BM,113.814653651628
BM,115.236258884247
BM,114.42861433487
BM,115.94292578079
BM,114.625741208953
BM,111.444624356431
BM,115.437093687885
BM,114.911080352618
BM,114.295922829654
BM,116.346341512328
BM,116.041488133778
BM,115.670407950212
BM,112.084454047422
BM,114.580759123457
BM,112.853057869333
BM,114.34051920655
BM,109.144203217589
