theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
0.41373858881883,0.20132778271547,1.0908221241901,0.0981155700217337,0.52362939282469,0.216794190019276,0.52362939282469,0.216794190019276
0.996598979892233,0.124483349770382,0.169969993702128,0.0892948489799294,NA,NA,NA,NA
0.443902342988118,0.110327233152912,1.04135366122222,0.103259196339116,1.10340488496806,0.211957704421737,1.10340488496806,0.682853241034567
0.410345600724581,0.233726643890368,1.07594057391227,0.101894468591183,0.40300156969819,0.171168168329198,0.40300156969819,0.171168168329198
0.266629864659435,0.241497300951792,1.07078273931732,0.0963063066391818,0.197166980459242,0.0769473516587256,0.197166980459242,0.0769473516587256
0.375062123763132,0.268838898840644,1.10428297424142,0.106551807519439,0.228245482245986,0.0963378934319967,0.228245482245986,0.0963378934319967
0.969504436303063,0.120557058228016,0.223464272853928,0.112017081039055,NA,NA,NA,NA
0.288673185909815,0.248798356558662,1.0972123936655,0.0975853086300349,0.317643198749274,0.124402397415579,0.317643198749274,0.124402397415579
0.284365222090532,0.314879048200646,1.10074795339943,0.116621609499875,0.150744863981196,0.0620010446933481,0.150744863981196,0.0620010446933481
0.317043755701299,0.215613702537425,1.06735172325299,0.09670476692313,0.400987074645915,0.162012069605429,0.400987074645915,0.162012069605429
0.995261705399055,0.129966283719478,0.142371544075706,0.078056567852666,NA,NA,NA,NA
0.964357606799966,0.126092311074182,0.158401316084458,0.0840448350845019,NA,NA,NA,NA
0.415254203314031,0.198006424780143,1.06591011362839,0.0994418583095201,0.457274023851349,0.198535164737261,0.457274023851349,0.198535164737261
0.998683837620521,0.127962481570598,0.119167218401929,0.0623274208805855,NA,NA,NA,NA
0.386030388097307,0.20111487806667,1.05880778919932,0.0987917190825827,0.554086222082025,0.256359881072617,0.554086222082025,0.256359881072617
-4.58645322983396e-72,9.07322018370521e-45,0.107287175264332,0.0760380776712615,2.99185065717328e-14,1.40060425177853e-107,51.755303129893,1.50781326717608e-169
1.0137172445928,0.134325812992558,0.136099361988229,0.0767919610859095,NA,NA,NA,NA
0.995451599304232,0.12232479717522,0.220152750504777,0.115311249616957,NA,NA,NA,NA
0.291979424325103,0.280568495895598,1.0858264616634,0.102868820918336,0.273853479047365,0.115188539637477,0.273853479047365,0.115188539637477
0.344313734677264,0.232650981493771,1.08751031660833,0.100087378324624,0.397935520355756,0.158024015204742,0.397935520355756,0.158024015204742
0.353109302069426,0.275067387714722,1.09663148059778,0.114930465721413,0.285805763059294,0.123193370823382,0.285805763059294,0.123193370823382
0.334884151419735,0.2634141581451,1.06345221411106,0.101185486903736,0.337973084653749,0.137375760718362,0.337973084653749,0.137375760718362
0.987515512135752,0.118975553559195,0.216725938872525,0.112370688374654,NA,NA,NA,NA
0.99788012801583,0.125735839232626,0.17557210803563,0.0906577625598886,NA,NA,NA,NA
0.438068973311541,0.225603426028138,1.02360952670674,0.0996843385392411,0.582304336029942,0.26458029586216,0.582304336029942,0.26458029586216
0.374566679622026,0.268789727972884,1.05858428250507,0.111280095603312,0.257427404242323,0.112694381970851,0.257427404242323,0.112694381970851
1.01678456446467,0.145142226351317,0.10731747332235,0.0602234757060835,NA,NA,NA,NA
0.386881566148975,0.208822506587982,1.06242337247442,0.0963887714243958,0.368747308270102,0.15541240453216,0.368747308270102,0.15541240453216
1.00614557450795,0.117008763645485,0.23479961378533,0.123064081756499,NA,NA,NA,NA
