PC1,PC2,PC3,PC4,PC5
flower_size,-0.542118727763058,0.426221760064389,0.720681813519481,-0.048829917585554,-0.0517267732130888
herkogamy,0.00672219749846925,-0.85294509245691,0.516412335607907,0.0693250050504594,0.0308516550804678
style_height,-0.832417556254492,-0.292601022063364,-0.459338730991243,-0.101892910122101,0.00956132861997375
stigma_size,-0.106972441746529,0.0401953807116876,-0.0517439257028377,0.974097318350525,-0.188144116600556
pore_size,-0.0412311267786956,0.0599053733667069,0.0163254298097214,0.183199159584611,0.980246340822232
