Group.1,flower_size,herkogamy,pore_size,stigma_size
AF,1.11,0.98,0.075,0.181666666666667
AFother,2.78375,1.55291666666667,0.0704166666666667,0.37875
other,2.566875,0.7675,0.0671666666666667,0.215833333333333
