geo_state,median(flower_size),IQR(flower_size),median(rel_pore_size),IQR(rel_pore_size),median(stamen_dim),IQR(stamen_dim),median(herkogamy),IQR(herkogamy)
AF,5.26,1.11,0.122525957170668,0.0562843791605354,0.155210643015521,0.142338265061287,-3.26,0.51
other,5.995,2.7725,0.0820078403569865,0.077793177557429,0.241856485373962,0.143303793168464,-2.6225,1.195
