Clidemia_dentata
Eriocnema_fulva
Leandra_acutiflora
Miconia_affinis
Miconia_albicans
Miconia_alborufescens
Miconia_angelana
Miconia_atlantica
Miconia_baumgratziana
Miconia_brevitheca
Miconia_brunnea
Miconia_budlejoides
Miconia_capixaba
Miconia_castaneiflora
Miconia_chrysophylla
Miconia_cinerascens
Miconia_cinnamomifolia
Miconia_cipoensis
Miconia_corallina
Miconia_cubatanensis
Miconia_cyathanthera
Miconia_discolor
Miconia_dispar
Miconia_ernstii
Miconia_fallax
Miconia_fasciculata
Miconia_ferruginata
Miconia_flammea
Miconia_formosa
Miconia_friedmaniorum
Miconia_heliotropoides
Miconia_hyemalis
Miconia_hypoleuca
Miconia_kollmannii
Miconia_kriegeriana
Miconia_lepidota
Miconia_ligulata
Miconia_lourteigiana
Miconia_lymanii
Miconia_macrothyrsa
Miconia_mayarae
Miconia_multispicata
Miconia_navioensis
Miconia_octopetala
Miconia_penduliflora
Miconia_pepericarpa
Miconia_petroniana
Miconia_polyandra
Miconia_pterocaulon
Miconia_punctata
Miconia_racemifera
Miconia_robusta
Miconia_rondoniensis
Miconia_rufescens
Miconia_ruficalyx
Miconia_ruschiana
Miconia_sclerophylla
Miconia_secundiflora
Miconia_serialis
Miconia_setosociliata
Miconia_shepherdii
Miconia_stenostachya
Miconia_suberosa
Miconia_tiliifolia
Miconia_valtheri
Miconia_willdenowii
Ossaea_spicata
Physeterostemon_fiaschii
Pleiochiton_ebracteatum
