PC1,PC2,PC3,PC4,PC5,PC6
flower_size,-0.531019711747458,0.255710931203214,-0.783219183767983,-0.150654632542126,0.114153066372611,0.0589063214601999
herkogamy_major,0.220637098833015,-0.614412391105469,-0.477165850187598,0.57486172647225,-0.123375236846845,0.0210233693704726
herkogamy_minor,0.019313262615285,-0.655192030524186,-0.0719478787235082,-0.742522740798609,0.10798197218785,-0.0466237798905087
style_height,-0.809974480941707,-0.355028194978422,0.387219175557796,0.259095184470946,0.0284204957731294,-0.00442627133064699
stigma_size,-0.105834831412518,0.0188801831321486,-0.0188164648183953,-0.168106851242353,-0.966939042920875,0.157662429377332
pore_size,-0.0412875637988688,0.0378319430124812,-0.0584056082223885,0.0103406226703758,-0.155912426536211,-0.984396898037579
