V1,V2
model,aicc
OU,40.9444967271629
OU,41.9345467063953
OU,41.8481638368854
OU,42.3791541203876
OU,40.194309556105
OU,41.3960645989766
OU,42.135844353844
OU,32.6628243782176
OU,42.0254099717003
OU,41.2908539465689
OU,42.2550086825162
OU,40.3526002244245
OU,41.9043764762637
OU,40.6825419726505
OU,37.7409106096695
OU,41.3904334713515
OU,41.3669569761945
OU,41.9295667858129
OU,41.5934739186552
OU,41.4389888632943
OU,42.9811445257891
OU,40.7061311522129
OU,40.9565771681967
OU,42.2250863679665
OU,24.1694894261893
OU,42.0715269913317
OU,41.0950565443132
OU,39.6453208166286
OU,41.9391025805455
OU,41.8483511791063
OU,40.8415587153115
OU,41.6414387877366
OU,41.915900102728
OU,41.9950551916814
OU,42.0004759386155
OU,42.0554771354223
OU,41.1688726349266
OU,41.505513233431
OU,40.9300015096375
OU,41.6310866869327
OU,41.9028396240786
OU,41.3822221842547
OU,42.4998904768876
OU,42.1872764075364
OU,41.3110530532836
OU,42.137086583735
OU,40.9986483938874
OU,41.6526089776179
OU,41.8553203055271
OU,42.7172088464626
