V1,V2
model,aicc
BM,111.469743910563
BM,113.187151227177
BM,116.218998784754
BM,117.04900347912
BM,116.138615586328
BM,116.72371156721
BM,115.803746980472
BM,116.473906588066
BM,116.737977507767
BM,116.234328703229
BM,115.485068028358
BM,117.220271143918
BM,115.537370431774
BM,115.740656929198
BM,115.175966447836
BM,116.01299785749
BM,116.114537108903
BM,111.824657993642
BM,114.463040723079
BM,115.943567592331
BM,117.220044824081
BM,117.91701918592
BM,116.043602520354
BM,115.626502803513
BM,117.436127919965
BM,114.995245864589
BM,107.050385159379
BM,114.093972245964
BM,112.713929246632
BM,117.435591823189
BM,115.06809176964
BM,112.934056452394
BM,117.082139279756
BM,115.842381928991
BM,115.939057933048
BM,115.955983239538
BM,116.93028121708
BM,104.249720848487
BM,115.794980005969
BM,116.144352598951
BM,116.215948548046
BM,115.315510404476
BM,113.800746221992
BM,117.296551631524
BM,113.188739044966
BM,115.267215467183
BM,116.420386721277
BM,114.115053618117
BM,115.035801242226
BM,114.050274917697
BM,117.918792233759
