theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
-3.36151190616754,0.257128186065106,-2.61231201648066,0.156165999236646,0.899164822131394,1.15572211286701,0.899164822131394,1.15572211286701
-6.82809154508254e-19,0,-2.61131498097556,0.0692179663510367,5.45286766243636e-06,2.14853083624129e-16,3.50100685679745,8.01908191581211e-07
-2.90051159464593,0.120569963242349,57.0355835600883,83.7543250318,NA,NA,NA,NA
-3.35508929935747,0.274406717224772,-2.64908164347995,0.155170588071681,0.926404898942975,1.24315707106645,0.926404898942975,1.24315707106645
-6.6522700279084e-30,0,-1.84797036652393,288574473.774599,0.00429704130200766,0.191976532022555,5.28236425777854,0.0117139674857001
-3.29574602190258,0.269634255298442,-2.61375721123153,0.156100646990033,0.569079511583937,0.750854034919947,0.569079511583937,0.750854034919947
-2.8051019214474,0.14671183863222,0.561081166844191,0.828907992206744,NA,NA,NA,NA
-3.38858626555513,0.309453733528064,-2.63392119189878,0.157340413855819,0.554175069910292,0.728553571582874,0.554175069910292,0.728553571582874
-3.36600303710185,0.30987580729744,-2.6199489185666,0.156700396993096,0.282145930144439,0.444171180390412,0.36710631915717,0.444171180390412
-3.37325744804965,0.270212193870145,-2.682617054845,0.152260179391474,1.04546730113989,1.46934037655251,1.04546730113989,1.46934037655251
-3.30585457376888,0.308160301278944,-2.60621273396199,0.16894332466793,0.47615432371616,0.617696360078728,0.47615432371616,0.617696360078728
-2.78070965109334,0.149452510289238,0.438927019096763,0.624749393997053,NA,NA,NA,NA
-3.3304063724845,0.280429932568639,-2.66876865005111,0.158418507908882,0.800439196683691,1.12024383953105,0.800439196683691,1.12024383953105
-2.78278922015951,0.147207521433942,0.456653222687603,0.678678793609634,NA,NA,NA,NA
-3.35182609261579,0.276429649189147,-2.69075231052032,0.155429257752752,1.08281467067274,1.54783649287434,1.08281467067274,1.54783649287434
-3.33710515905517,0.262517034689335,-2.69102479607935,0.147856811143601,1.36238917857185,1.90209313719621,1.36238917857185,1.90209313719621
-3.46777462408115,0.30033971812311,-2.62012268612275,0.158622405293595,0.570368627749265,0.749663467775844,0.570368627749265,0.749663467775844
-3.45489228262798,0.323525365344377,-2.6339230092808,0.158596867599806,0.567635053047458,0.731909639859832,0.567635053047458,0.731909639859832
-7.1067549654916e-24,0,-2.68693930631782,4322.29959531084,0.00180929920246515,2.22806082255296,5.88358375018255,0.12635376466039
-3937330150.64063,NA,-5.89637510011383,NA,2.35601619562703,6.78685559241253e-23,6.11996583407897,1.69178497069933e-05
-3.33915437881904,0.253774929578425,-2.63244870170699,0.163427669291904,0.714984873231745,0.946623914449618,0.714984873231745,0.946623914449618
-3.29079334812301,0.30205315718297,-2.6536633074212,0.157786093860921,0.651163172576953,0.848765620492908,0.651163172576953,0.848765620492908
-2.77255676724654,0.148302520925082,0.515852525630282,0.74881295524101,NA,NA,NA,NA
-3.37625278287743,0.290345723113745,-2.65344065878194,0.151949633160875,0.692301228895923,0.905682335986742,0.692301228895923,0.905682335986742
-2.83120425519659,0.147203806033926,0.771338073676151,1.18842813993537,NA,NA,NA,NA
-3.36842521900869,0.311088553903394,-2.65209486561993,0.167051132248456,0.480525871471496,0.635623827798619,0.480525871471496,0.635623827798619
-3.95069033279399e-19,0,-2.03811084755741,0.0112976106183389,0.0418018016668785,1.51236321675323e-14,4.08828001786453,3.42328914287925e-10
-1.14930916050542e-20,0,-2.5922144763547,0.0212441110934414,4.53951303224477e-09,1.99529717861155e-18,3.36239613258526,1.97572013417753e-06
-3.31592185570126,0.274081797628872,-2.64434901488254,0.161646136008156,0.782184094365452,1.05381966045109,0.782184094365452,1.05381966045109
-3.34549247226676,0.276891327556287,-2.66242973095113,0.151613477094749,0.857576633991668,1.19779995448711,0.857576633991668,1.19779995448711
-3.33820046265677,0.26430782683664,-2.62604177612956,0.155670226803647,0.838156351678859,1.13636441500436,0.838156351678859,1.13636441500436
-2.79720644866306,0.155614191540276,0.443624290117213,0.647284573677673,NA,NA,NA,NA
-1.10933984609349e-23,0,-2.59252154005386,0.0163743655539085,6.6913069145238e-08,7.07958609974766e-09,5.56025893662891,1.60892922868111e-07
-2.78166418697939,0.151953573094872,0.521057168564314,0.774491126882064,NA,NA,NA,NA
-3.25386515311654,0.292951616557276,-2.67717642074894,0.163326847087395,0.599927937350791,0.81906254177984,0.599927937350791,0.81906254177984
-2.76069092643393,0.175615232746202,0.34694458840126,0.50244833869071,NA,NA,NA,NA
-2.77720974842698,0.164061967791465,0.350790706281823,0.511054631246688,NA,NA,NA,NA
-3.04419873807716e-31,0,-1.84551714779272,0.0043826022328697,2.32567976188709e-07,1.54851826418848e-24,7.06730975698479,1.84312976243011e-24
-2.76032781465337,0.16546152605433,0.359152091070932,0.52933103337338,NA,NA,NA,NA
-3.2529519077466,0.299457328288343,-2.652931766562,0.168703904902901,0.492984964622108,0.674560073651388,0.492984964622108,0.674560073651388
-2.85723469485693e-27,0,-2.68999911187665,0.207159604352291,2.10724398258494e-06,6.03206013694849e-14,7.70680504513507,9.01547542535379e-08
-2.79022142318635,0.153610652377426,0.568470074202726,0.872354766122102,NA,NA,NA,NA
-3.36606313231641,0.259629787673587,-2.68641223110659,0.156232523887982,0.72886958227403,1.00749796207492,0.72886958227403,1.00749796207492
-3.33602965996661,0.303439635345492,-2.628293147224,0.167872445555658,0.442749237795608,0.60881410567572,0.442749237795608,0.60881410567572
-1.67780432504621e-35,0,-2.69000103690668,28168.092817598,3.78090261861432e-16,1.09744265636532,5.92672571685267,1.85843549028733
-3.43857662140357,0.307847123617986,-2.59988013872368,0.162399630087982,0.392305418449815,0.487366470713841,0.392305418449815,0.487366470713841
-3.4410794657706,0.323966595701427,-2.59919752458921,0.159939952707915,0.507023430635372,0.612748871600357,0.507023430635372,0.612748871600357
-2.79071909680632,0.149974810806828,0.544226923399563,0.821706259028165,NA,NA,NA,NA
-1.2005623124163e-13,9.97288508161312e-18,-3.31636021236984,0.000274673823462979,4.21537637084862e-09,1.88075292217029e-12,3.26388452924733,4.92493097008355e-07
-3.410276930143,0.286537589097775,-2.61674453739225,0.156796233460331,0.573365007065205,0.704317441824457,0.573365007065205,0.704317441824457
-2.76843583693252,0.162066223672234,0.238168220239036,0.343213604354821,NA,NA,NA,NA
-2.46038217949946e-15,1.10167480253046e-19,-2.69000005353976,0.000122230099673778,0.0454744638466315,1.89996127058544e-23,5.03112692620057,1.17099118844325e-13
-3.39849964284932,0.287987373845323,-2.61562834572893,0.157454368217987,0.656256676469516,0.837347443948865,0.656256676469516,0.837347443948865
-3.34901058084982,0.276830445528839,-2.67430779957076,0.15007375876382,0.613943908942728,0.83973871334979,0.613943908942728,0.83973871334979
-3.43473998630173,0.293690188330313,-2.62532014174942,0.161682908029928,0.471407793813101,0.580546730631454,0.471407793813101,0.580546730631454
-2.3555287689802e-22,0,-2.01621072729127,1.04935825813856,4.60976548839777e-06,3.78635877600753e-18,5.20730638324719,1.61862689290599e-12
-5.54210763535042e-40,NA,-3.99622532328431,1.40044328893909e+23,1.20686118480181e-07,0.555685489477559,14.0189192497592,0.239738028317033
-7.11457153350571e-25,0,-2.56046657816976,0.0235230729518777,7.46294238151477e-08,2.08248645100599e-12,5.4804319495219,2.77874691387628e-09
-1.2230325688884e-18,0,-1.84568216369171,0.0114865409484814,4.21495224998002e-06,6.19434472891198e-23,4.11460164494575,6.3259962539946e-14
-3.40117008061519,0.274265157329796,-2.60107536414185,0.158526889156663,0.615137814248815,0.802783523849482,0.615137814248815,0.802783523849482
-1.88410479606596e-17,0,-2.61710964953136,0.114643619997488,3.56207428286767e-10,0.000561115238440976,3.11610206687172,2.71403017978587
-2.77145300398209,0.163693561521655,0.477034293226116,0.699249814741927,NA,NA,NA,NA
-7.72049315610321e-27,0,-3.8599266609576,53332484.677876,6.63115684665898e-06,1.29090075484232,6.34725545355074,0.375132400504559
-3.42062726115388,0.231164879050401,-2.64120802135344,0.147688146991121,1.80197852045255,2.42863403236019,1.80197852045255,2.42863403236019
-3.31969357046295,0.269150031886733,-2.6806360847688,0.15588690945121,0.872556814600111,1.20439736533187,0.872556814600111,1.20439736533187
-2.79689420859187,0.144345077036045,0.477042153343,0.723612205573098,NA,NA,NA,NA
-3.39534645459806,0.295215129012831,-2.64412706336364,0.16189628251363,0.594064805464092,0.793583849165891,0.594064805464092,0.793583849165891
-3.35236577244927,0.27990198510333,-2.63736579250269,0.155970224932748,0.893858635046722,1.16784396311088,0.893858635046722,1.16784396311088
-2.76955463600587,0.16883986260948,0.329628649551732,0.479083125943202,NA,NA,NA,NA
-2.77112391156512,0.165146321262126,0.404247509164312,0.578062438845245,NA,NA,NA,NA
-3.39636907578871,0.260425735698052,-2.61404968391758,0.156869389444901,0.64801087412336,0.827304345180727,0.64801087412336,0.827304345180727
-8.73503879195897e-24,0,-2.03491431842346,0.0474339168814228,0.0135361642069921,4.98278538191455e-16,6.3853475415161,1.63985743192511e-15
-2.04107254753632e-29,0,-3.21268155710619,1684300548798.28,0.0203851121295059,0.814401348128548,7.5788396153954,0.0773124719158807
-9.87560265197126e-16,1.71261039329443e-17,-2.61851063423647,0.0418474338855672,4.8328243327394e-07,1.29236146752932,3.73216341702828,0.432490873710769
-3.29636701536338,0.302198476301976,-2.6245086059833,0.166464488815393,0.542245464628078,0.706419187701367,0.542245464628078,0.706419187701367
-2.78454840436997,0.149203976453353,0.63679061962005,0.928427424776969,NA,NA,NA,NA
-3.34152135471668,0.33601502709358,-2.64410729808301,0.164631985967145,0.373950718921954,0.494047700796457,0.373950718921954,0.494047700796457
-3.29164475346655,0.254444483108008,-2.6635119161638,0.156422249084982,0.789012198290596,1.10341372680438,0.789012198290596,1.10341372680438
-3.39358702338526,0.278983972217773,-2.70690682950951,0.150090089980437,1.08698847163303,1.54539018410465,1.08698847163303,1.54539018410465
-2.82201586353234,0.146838578783116,0.429057522042517,0.632770660236492,NA,NA,NA,NA
-2.76294395588656,0.151116045152546,0.481086425704246,0.697205000211081,NA,NA,NA,NA
-2.79394275353198,0.14805371798541,0.559804951387014,0.82973146802976,NA,NA,NA,NA
-3.21059634537808,0.230476430927933,-2.66176961036196,0.149412050916596,0.585838981686629,0.874998420631121,0.686919274470241,0.874998420631121
-2.72071395428479e-36,0,-2.03498519428591,292.758779539995,7.82996431981024e-17,1.27766218648404,5.23883714336692,2.09300962491973
-3.37658611018374,0.270539667795674,-2.62960884317209,0.15186733771514,0.718287734759149,0.946226326278337,0.718287734759149,0.946226326278337
-2.76046122914571,0.156813961698711,0.441459488195207,0.640120451276507,NA,NA,NA,NA
0,0,-2.59081656314974,0.168066016025999,1.0792477403986e-17,0.493544137862533,0.248873196388033,0.236859648323499
-1.06648759216677e-45,NA,-3.87655273063862,75598248.911611,1.51108316299664e-13,4.16336399103472e-06,11.3286798248328,2.04240031240844
-5.39248754498907e-38,0,-1.84722141505029,286940.717651711,0.0761897293125127,1.06531259718075,8.80048218810773,2.79652760935832e-10
-2.8095502861017,0.144680954248572,0.579836207998833,0.885954698146856,NA,NA,NA,NA
-2.77894670389744,0.151993285767203,0.533950334393458,0.802344070694082,NA,NA,NA,NA
-2.1165849180501e-24,0,-2.03501281993635,2.05146642777824e-05,3.62380185609641e-06,6.57830809317844e-17,5.53641042226335,1.88686886768694e-12
-3.4239349437398,0.305248646633549,-2.63333000903531,0.160741347675303,0.552751358393801,0.709143980304778,0.552751358393801,0.709143980304778
-3.44980463431995,0.325427969743983,-2.60989083388023,0.157238555919779,0.454309060586264,0.571413795056606,0.454309060586264,0.571413795056606
-1.12590756749195e-13,2.21217938924333e-15,-2.69002609077423,0.0529234541396771,0.74706250293924,1.54281611195596e-22,3.90935328241537,0.000135972551998109
-2.76632688013156,0.16994994309953,0.342981949177832,0.493777486162853,NA,NA,NA,NA
-1.12840248194482e-27,0,-2.69000248491519,2254.15665407033,2.8664272341438e-08,0.0800940066584626,5.00775775694887,0.00928848859275086
-3.34833332783065,0.288289593007374,-2.6552400000701,0.155987947042167,0.56692335390934,0.752516079744304,0.56692335390934,0.752516079744304
-3.27908454546981,0.242111291985241,-2.70736553501979,0.150920357395193,1.49279612815703,2.11056684906509,1.49279612815703,2.11056684906509
-3.31527497005524,0.275948257403547,-2.62686547353012,0.155097966616929,0.580152634845058,0.745316526007569,0.580152634845058,0.745316526007569
