species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.59319430695002,2.9309752942935,0.370886214431536,11.153283386812,2.9309752942935,0.01961
alborufescens,7.92680072881869,16.7996022513177,5.27985999802802,19.4465429821083,7.92680072881869,6.8924
amnicola,1.48685391807591,4.53725062799291,0.0646261044153779,5.95947844165343,1.48685391807591,2.25919
argyrophylla,9.31047901524418,4.5521919663615,4.02119930751527,9.84147167409042,4.5521919663615,0.70034
budlejoides,3.90989682910614,2.86445690314854,1.36343145171699,5.41092228053769,2.86445690314854,3.68562
burchellii,1.45278052973783,6.1415653790714,1.38576661097721,6.20857929783202,1.45278052973783,0.25571
capixaba,0.0140895432567916,10.4145355928056,0.0140895432567916,10.4145355928056,0.0140895432567916,5.81284
castaneiflora,2.43300662587402,2.89798705840108,1.41414433375197,3.91684935052312,2.43300662587402,1.51596
chrysophylla,13.9494732665281,3.62232090401496,3.23812565168882,14.3336685188542,3.62232090401496,0.1659
cinerascens,4.70101325072481,3.12843269465045,2.05866606692446,5.77077987845081,3.12843269465045,2.07369
cipoensis,0.0658074335799867,0.919135554725091,0.0642146916810614,0.920728296624016,0.0658074335799867,6.19413
corallina,1.95378929509736,1.69316841216129,1.07891894758686,2.56803875967179,1.69316841216129,0.83206
cowanii,4.53725062799291,1.48685391807591,0.0664401705042306,5.95766437556458,1.48685391807591,2.25919
cubatanensis,5.16226576927469,5.38874804091427,2.42573908408196,8.125274726107,5.16226576927469,5.7304
cyathanthera,0.919135554725091,0.0658074335799867,0.0635154391400698,0.921427549165007,0.0658074335799867,6.19413
dichrophylla,3.62232090401496,13.9494732665281,3.25477411262295,14.3170200579201,3.62232090401496,0.1659
discolor,2.86445690314854,3.90989682910614,1.38674283183392,5.38761090042076,2.86445690314854,3.68562
dispar,4.29511355061216,6.21670219707574,0.766714339040574,9.74510140864733,4.29511355061216,2.93268
fallax,3.05217524884861,13.6355531451154,2.93181920226131,13.7559091917027,3.05217524884861,7.2928
fasciculata,3.58618070032516,0.700687545139457,0.669698450849656,3.61716979461496,0.700687545139457,2.54193
ferruginata,6.1415653790714,1.45278052973783,1.38089287143099,6.21345303737825,1.45278052973783,0.25571
flammea,5.21908556832803,2.61852885295546,2.2212556551895,5.61635876609398,2.61852885295546,0.57518
formosa,3.12843269465045,4.70101325072481,2.0516805216427,5.77776542373257,3.12843269465045,2.07369
heliotropoides,1.52966860679217,1.57653924138399,0.895329642044776,2.21087820613138,1.52966860679217,4.43213
hyemalis,2.02385796452248,0.693683662133454,0.52719146165067,2.19035016500527,0.693683662133454,0.48972
hypoleuca,7.42911813623527,11.1697339850327,1.79808402500258,16.8007680962654,7.42911813623527,5.22105
lepidota,3.07946321531005,2.07934969515913,1.24930132759706,3.90951158287212,2.07934969515913,1.33906
longispicata,11.9942826523076,28.7694190563606,8.10014569140492,32.6635560172633,11.9942826523076,11.03571
lourteigiana,2.9309752942935,8.59319430695002,0.346958071564985,11.1772115296785,2.9309752942935,0.01961
lymanii,0.693683662133454,2.02385796452248,0.524754990424092,2.19278663623184,0.693683662133454,0.48972
macrothyrsa,1.57653924138399,1.52966860679217,0.907207446546625,2.19900040162953,1.52966860679217,4.43213
macuxi,1.65407957539865,9.81949158581574,1.46606012886374,10.0075110323506,1.65407957539865,3.84052
mayarae,4.5521919663615,9.31047901524418,4.04549308929255,9.81717789231314,4.5521919663615,0.70034
multispicata,4.34802435945514,14.3030659285394,2.75447890781604,15.8966113801785,4.34802435945514,5.16723
navioensis,2.22396325637115,10.1649585863095,1.46791294948346,10.9210088931972,2.22396325637115,3.15831
pepericarpa,1.8497914520163,5.63750638878875,1.64134183462779,5.84595600617725,1.8497914520163,3.75846
petroniana,2.88799741206355,0.190257355246526,0.180540153809114,2.89771461350096,0.190257355246526,0.94091
polyandra,2.07934969515913,3.07946321531005,1.25655065831813,3.90226225215105,2.07934969515913,1.33906
pterocaulon,2.00850720390337,9.96548039515682,0.829743959645327,11.1442436394149,2.00850720390337,5.42767
punctata,12.1915231091193,15.8435597761741,9.38882953809115,18.6462533472023,12.1915231091193,2.6449
racemifera,0.700687545139457,3.58618070032516,0.669141760533072,3.61772648493154,0.700687545139457,2.54193
rufescens,3.70341090191224,15.663815312888,1.43091272663432,17.9363134881659,3.70341090191224,3.13711
ruficalyx,12.071526984389,3.8817224817747,2.48091094989019,13.4723385162735,3.8817224817747,2.16356
sclerophylla,1.69316841216129,1.95378929509736,1.07149464406295,2.5754630631957,1.69316841216129,0.83206
secundiflora,0.993761565938479,9.64620254874418,0.437505091922601,10.2024590227601,0.993761565938479,1.28252
serialis,9.64620254874418,0.993761565938479,0.481255601114861,10.1587085135678,0.993761565938479,1.28252
shepherdii,0.190257355246526,2.88799741206355,0.179813634075476,2.8984411332346,0.190257355246526,0.94091
stenostachya,3.78121412679725,11.1614532849996,1.31736476339686,13.6253026484,3.78121412679725,5.98633
tiliifolia,15.663815312888,3.70341090191224,1.44830984185176,17.9189163729484,3.70341090191224,3.13711
valtheri,1.86760748392797,13.4802295245814,0.980493929062185,14.3673430794472,1.86760748392797,2.42603
willdenowii,2.61852885295546,5.21908556832803,2.2265425608632,5.61107186042029,2.61852885295546,0.57518
