species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.59319430695002,2.9309752942935,0.35892214299826,11.1652474582453,2.9309752942935,1.00175
alborufescens,7.92680072881869,16.8113697565213,5.19563902906145,19.5425314562786,7.92680072881869,12.30765
amnicola,1.48685391807591,4.53725062799291,0.0650796209375911,5.95902492513122,1.48685391807591,2.59561
argyrophylla,9.31047901524418,4.5521919663615,4.06863002431852,9.79404095728716,4.5521919663615,1.33999
budlejoides,3.90989682910614,2.86445690314854,1.35660860875594,5.41774512349875,2.86445690314854,9.08219
burchellii,1.45278052973783,6.1415653790714,1.3833297412041,6.21101616760514,1.45278052973783,1.02306
capixaba,0.0140895432567916,5.39898230535585,0.0140895432567916,5.39898230535585,0.0140895432567916,12.42259
castaneiflora,2.43300662587402,2.89798705840108,1.39957882871739,3.9314148555577,2.43300662587402,2.85487
chrysophylla,13.9494732665281,3.62232090401496,3.24196760421208,14.329826566331,3.62232090401496,0.55334
cinerascens,4.70101325072481,3.12843269465045,2.05892479082378,5.77052115455149,3.12843269465045,2.67036
cipoensis,0.0658074335799867,0.919135554725091,0.064447775861392,0.920495212443685,0.0658074335799867,7.61125
corallina,1.95378929509736,1.69316841216129,1.08466679547633,2.56229091178232,1.69316841216129,0.36873
cowanii,4.53725062799291,1.48685391807591,0.0664401705042306,5.95766437556458,1.48685391807591,2.59561
cubatanensis,5.16226576927469,0.920611754533851,0.846442867333034,5.23643465647551,0.920611754533851,12.29576
cyathanthera,0.919135554725091,0.0658074335799867,0.0639427601373425,0.921000228167735,0.0658074335799867,7.61125
dichrophylla,3.62232090401496,13.9494732665281,3.24196760421208,14.329826566331,3.62232090401496,0.55334
discolor,2.86445690314854,3.90989682910614,1.36627430295076,5.40807942930392,2.86445690314854,9.08219
dispar,4.29511355061216,6.21995135677322,0.753473384172275,9.76159152321311,4.29511355061216,4.26861
fallax,3.05217524884861,3.78121412679725,2.93667880519014,3.89671057045572,3.05217524884861,8.40557
fasciculata,3.58618070032516,0.700687545139457,0.669327323971933,3.61754092149268,0.700687545139457,3.92884
ferruginata,6.1415653790714,1.45278052973783,1.38779733578814,6.2065485730211,1.45278052973783,1.02306
flammea,5.21908556832803,2.61852885295546,2.19557639906015,5.64203802222334,2.61852885295546,1.15296
formosa,3.12843269465045,4.70101325072481,2.0516805216427,5.77776542373257,3.12843269465045,2.67036
heliotropoides,1.52966860679217,1.57653924138399,0.903997229113693,2.20221061906247,1.52966860679217,8.70477
hyemalis,2.02385796452248,0.693683662133454,0.527597540188433,2.1899440864675,0.693683662133454,0.51556
hypoleuca,7.42911813623527,11.1712294939619,1.7809642069615,16.8193834232357,7.42911813623527,8.77546
lepidota,3.07946321531005,2.07934969515913,1.2831315376287,3.87568137284048,2.07934969515913,0.67619
longispicata,11.9942826523076,28.74448366326,8.15309446447673,32.5856718510909,11.9942826523076,17.50562
lourteigiana,2.9309752942935,8.59319430695002,0.345462562635826,11.1787070386077,2.9309752942935,1.00175
lymanii,0.693683662133454,2.02385796452248,0.530541609587213,2.18700001706872,0.693683662133454,0.51556
macrothyrsa,1.57653924138399,1.52966860679217,0.899823946450881,2.20638390172528,1.52966860679217,8.70477
macuxi,1.65407957539865,9.81023681180534,1.4748258097538,9.98949057745019,1.65407957539865,6.53669
mayarae,4.5521919663615,9.31047901524418,4.05127732304904,9.81139365855664,4.5521919663615,1.33999
multispicata,4.34802435945514,14.2829703505924,2.80787089459776,15.8231238154498,4.34802435945514,7.94625
navioensis,2.22396325637115,10.187875519696,1.49730106243444,10.9145377136327,2.22396325637115,5.11725
pepericarpa,1.8497914520163,5.6692278228309,1.63524135745142,5.88377791739578,1.8497914520163,4.40748
petroniana,2.88799741206355,0.190257355246526,0.18008607897559,2.89816868833449,0.190257355246526,2.30691
polyandra,2.07934969515913,3.07946321531005,1.24930132759706,3.90951158287212,2.07934969515913,0.67619
pterocaulon,2.00850720390337,9.97713437597587,0.866284811194783,11.1193567686845,2.00850720390337,8.13818
punctata,12.1915231091193,15.849068469711,9.40591859730756,18.6346729815228,12.1915231091193,4.92742
racemifera,0.700687545139457,3.58618070032516,0.665801618633573,3.62106662683104,0.700687545139457,3.92884
rufescens,3.70341090191224,15.663815312888,1.44939716155285,17.9178290532473,3.70341090191224,3.56724
ruficalyx,12.071526984389,3.92884313146163,2.53553938253139,13.4648307333192,3.92884313146163,3.12002
sclerophylla,1.69316841216129,1.95378929509736,1.0836756810509,2.56328202620775,1.69316841216129,0.36873
secundiflora,0.993761565938479,9.64620254874418,0.44792187982552,10.1920422348571,0.993761565938479,2.59431
serialis,9.64620254874418,0.993761565938479,0.49167238901778,10.1482917256649,0.993761565938479,2.59431
shepherdii,0.190257355246526,2.88799741206355,0.180358523875705,2.89789624343437,0.190257355246526,2.30691
stenostachya,3.78121412679725,3.05217524884861,2.93183280056111,3.90155657508474,3.05217524884861,8.40557
tiliifolia,15.663815312888,3.70341090191224,1.46244499796593,17.9047812168343,3.70341090191224,3.56724
valtheri,1.86760748392797,13.4838690650164,1.01845999815588,14.3330165507885,1.86760748392797,3.55799
willdenowii,2.61852885295546,5.21908556832803,2.20992657160302,5.62768784968047,2.61852885295546,1.15296
