theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
0.137720118831074,0.0223291077288606,0.254148904495119,0.0221748663288477,1.39433392676775,0.0163278311792793,1.39433392676775,0.0402404648468888
0.132923031014461,0.0403050694008163,0.258938710555789,0.0207053337369609,0.464795479659428,0.00979572652073811,0.464795479659428,0.00979572652073811
0.139330489281672,0.0288338845440053,0.239839652880196,0.0169902736755651,34.8697602449485,0.751372339640521,34.8697602449485,0.751372339640521
0.121317696188764,0.0328772703866659,0.250670775490559,0.0188673666606928,1.13065446758702,0.0235897971189672,1.13065446758702,0.0235897971189672
0.102358307876811,0.0351501602790442,0.256247749448752,0.0184821438031606,0.39690766951976,0.00773328506877368,0.39690766951976,0.00773328506877368
0.134970919018095,0.0384343765083059,0.260468067965406,0.0204957849262861,0.434540927282996,0.00909668690960292,0.434540927282996,0.00909668690960292
0.135401321554434,0.0358979534809304,0.250756547094328,0.0201016515269894,0.718515351174324,0.0154328221509053,0.718515351174324,0.0154328221509053
0.113873262189285,0.0377882916373527,0.257742766083497,0.0193900144156338,0.570209931241575,0.0115056844492547,0.570209931241575,0.0115056844492547
0.124451490173204,0.0386705804061206,0.258453510864104,0.0204902479575711,0.311722130677033,0.0059066149141963,0.311722130677033,0.0059066149141963
0.11378469656955,0.0342736248794496,0.25314726948159,0.0191486596204737,0.83206860723018,0.0174579045996481,0.83206860723018,0.0174579045996481
0.128993629770194,0.0397235775448969,0.260155022777606,0.0210882545606073,0.44231397392263,0.0086799292728729,0.44231397392263,0.0086799292728729
0.145841709984597,0.0378556120694463,0.25431297576967,0.0210490912171993,0.45712386499442,0.00931095048901931,0.45712386499442,0.00931095048901931
0.123489420172764,0.0344176152709957,0.253692865847082,0.0194644378529859,0.831821011599821,0.0178127598819576,0.831821011599821,0.0178127598819576
0.236064680912804,0.0217148947179702,0.265746705375107,0.006133966547536,NA,NA,NA,NA
0.139401642448681,0.0287408273199179,0.24056022809073,0.0168109451534666,48.3068139419538,1.03667850109701,48.3068139419538,1.03667850109701
0.130323353356228,0.0276604588682357,0.259541674758931,0.0182029145885449,0.656504373948223,0.0161653006536034,0.869613381076533,0.0161653006536034
0.102540663844818,0.0362729424663306,0.257147410618421,0.0192129754060614,0.575686204902038,0.0111333499344062,0.575686204902038,0.0111333499344062
0.118792255467123,0.0348524684439119,0.250172960675289,0.0188543291404202,0.790669541171153,0.0159906055670492,0.790669541171153,0.0159906055670492
0.121675060047977,0.0338167019135444,0.247260459504762,0.0199698646531453,0.848331969405999,0.0197059885505451,0.848331969405999,0.0197059885505451
0.122517760969637,0.0313770360442066,0.254646114897231,0.0190893364840915,0.900589891244695,0.0179738023125481,0.900589891244695,0.0179738023125481
0.132968314370912,0.0321682437847216,0.254909666327064,0.0206165439923998,0.701513362642922,0.0146830476769838,0.701513362642922,0.0146830476769838
0.134112430098809,0.0333499100747995,0.252649759696652,0.0191254173540964,0.883797191101198,0.0182703394974329,0.883797191101198,0.0182703394974329
0.128289728566439,0.0353998364288839,0.256579272618419,0.0198734734777189,0.795021151407278,0.0172564824270651,0.795021151407278,0.0172564824270651
0.128438477294849,0.0432303869289054,0.250433344038751,0.0196542943054015,0.478554294087996,0.00911700833298258,0.478554294087996,0.00911700833298258
0.125397772693072,0.0333040565251439,0.245709923811315,0.0187544790052419,1.39564297589108,0.0298368950200959,1.39564297589108,0.0298368950200959
0.135430551480364,0.0321063943589113,0.245777889158896,0.0193406054642448,0.893054106409557,0.0190090434208077,0.893054106409557,0.0190090434208077
0.129453011650332,0.040294696452505,0.257223416610122,0.0202242563280019,0.430812308452273,0.00846617866389197,0.430812308452273,0.00846617866389197
0.139428959073868,0.0287349502003684,0.240584345954753,0.0168110317915232,42.0417323285449,0.902491462574293,42.0417323285449,0.902491462574293
0.144221520564764,0.0386953689391599,0.251662432106637,0.0208324512418261,0.630982547793101,0.0133209591735775,0.630982547793101,0.0133209591735775
