theta_1,se_1,alpha_1,sigma_sq_1,,,,,,,,
-0.157233398062069,0.208152201691355,0.25297098983013,0.391064323628341,NA,NA,NA,NA,NA,NA,NA,NA
-0.139006685398642,0.190426671313594,0.276334441959664,0.410505776597344,NA,NA,NA,NA,NA,NA,NA,NA
-0.210861402384893,0.208857475083126,0.186650979564015,0.298844474623905,NA,NA,NA,NA,NA,NA,NA,NA
-0.148102888001235,0.212951661610249,0.126924375503182,0.210285731203736,NA,NA,NA,NA,NA,NA,NA,NA
-0.147993807991203,0.192734169621076,0.223958380214597,0.33579559445665,NA,NA,NA,NA,NA,NA,NA,NA
-0.14001547445466,0.399858891358674,-1.27866726957467e-10,3.65164264035912e-10,NA,0.124077035078323,NA,NA,NA,NA,NA,NA
-0.123877933945186,0.217706503133656,0.16330845495163,0.258523435226689,NA,NA,NA,NA,NA,NA,NA,NA
-0.157256304515384,0.189004546093563,0.256700765736914,0.379020318593141,NA,NA,NA,NA,NA,NA,NA,NA
-0.148449268850751,0.396142178079231,-1.42202057033644e-10,3.79471270129934e-10,NA,0.126334011442507,NA,NA,NA,NA,NA,NA
-0.236941451398583,0.240231689758766,0.147673164159828,0.24709035806428,NA,NA,NA,NA,NA,NA,NA,NA
-0.14436006358906,0.232140928116692,0.0877445109768778,0.148139699173723,NA,NA,NA,NA,NA,NA,NA,NA
-0.154676365633019,0.199662739072249,0.259865035608399,0.395770514871973,NA,NA,NA,NA,NA,NA,NA,NA
-0.177355994895679,0.21662192466453,0.160913434962667,0.278410314463973,NA,NA,NA,NA,NA,NA,NA,NA
-0.191489184411275,0.209049865832784,0.14722984524206,0.236391508085659,NA,NA,NA,NA,NA,NA,NA,NA
-0.254777711982718,0.379388405900358,-2.10672039340351e-10,3.13710836599926e-10,NA,0.131835655074373,NA,NA,NA,NA,NA,NA
-0.123876357014945,0.195954282532589,0.256580632255836,0.385848218232622,NA,NA,NA,NA,NA,NA,NA,NA
-0.135752822627533,0.212776938211348,0.119526293335718,0.194365058668594,NA,NA,NA,NA,NA,NA,NA,NA
-0.159927371093547,0.194717291194449,0.247374657618272,0.377598589613319,NA,NA,NA,NA,NA,NA,NA,NA
-0.188467370543554,0.207760013966349,0.268455322215749,0.415825641833591,NA,NA,NA,NA,NA,NA,NA,NA
-0.139534320689287,0.215603042732985,0.172920432095592,0.273008556120264,NA,NA,NA,NA,NA,NA,NA,NA
-0.149854862849073,0.197011248252578,0.235217030403033,0.349004791596092,NA,NA,NA,NA,NA,NA,NA,NA
-0.129500555259147,0.220269243344692,0.203644528134734,0.326425189307537,NA,NA,NA,NA,NA,NA,NA,NA
-0.168885082920445,0.195171521884524,0.224566332767833,0.334107950260131,NA,NA,NA,NA,NA,NA,NA,NA
-1.13690856333819,0.306836763911782,0.119868308138995,0.372218859762878,-0.0268116252468012,0.196726520912985,0.590466218184477,0.714305340787794,0.590466218184477,0.714305340787794,0.590466218184477,0.714305340787794
-0.231241341414772,0.204550073330682,0.225814955484187,0.372203981020466,NA,NA,NA,NA,NA,NA,NA,NA
-0.138764845215305,0.191777155432887,0.178934886002042,0.265736029054059,NA,NA,NA,NA,NA,NA,NA,NA
-0.18650414799061,0.201860704217973,0.179875710000119,0.286885967630104,NA,NA,NA,NA,NA,NA,NA,NA
-0.200299586631663,0.215084093136588,0.244347380204362,0.365578893201451,NA,NA,NA,NA,NA,NA,NA,NA
-0.166839208543327,0.213850499324317,0.173099164046496,0.264190301604616,NA,NA,NA,NA,NA,NA,NA,NA
-0.228389774413933,0.222839957626033,0.184461676595917,0.275684128452809,NA,NA,NA,NA,NA,NA,NA,NA
-0.198833190536336,0.227832121115516,0.167213147960507,0.269646588885553,NA,NA,NA,NA,NA,NA,NA,NA
-0.120409232065657,0.195522782854338,0.240448016505166,0.360437208691074,NA,NA,NA,NA,NA,NA,NA,NA
-1.35540229335906,0.426725070906214,0.662172200611265,0.542269590491341,-0.0782263627894574,0.212678661523977,0.251951023368116,0.275443418616785,0.251951023368116,0.275443418616785,0.251951023368116,0.275443418616785
-0.11146470419332,0.189792616150935,0.228715401827851,0.330903696170907,NA,NA,NA,NA,NA,NA,NA,NA
-0.162050326618474,0.216557868040868,0.188745913027011,0.282804935419991,NA,NA,NA,NA,NA,NA,NA,NA
-0.166553160175552,0.216028133411402,0.236912287995635,0.357322288632226,NA,NA,NA,NA,NA,NA,NA,NA
-0.181844867415508,0.373387637528636,-1.8257555680928e-10,3.74887984447332e-10,NA,0.120153919226617,NA,NA,NA,NA,NA,NA
-0.149451016293221,0.200667564322473,0.182298278349586,0.282354996193577,NA,NA,NA,NA,NA,NA,NA,NA
-1.17776809856702,0.338018240800951,-0.0437231676266694,0.372666701621615,-0.0273465937706947,0.199166512068182,0.488249955834964,0.615579741483894,0.488249955834964,0.615579741483894,0.488249955834964,0.615579741483894
-0.161494496289642,0.234499702223458,0.124027174681357,0.220926395023124,NA,NA,NA,NA,NA,NA,NA,NA
-0.106251253523208,0.338825076800287,-7.23529431975463e-11,2.30726610018595e-10,NA,0.167392147421799,NA,NA,NA,NA,NA,NA
-0.136148930490528,0.196006101726036,0.233954617446926,0.34011915569669,NA,NA,NA,NA,NA,NA,NA,NA
-0.153727914680403,0.188732850846586,0.199825560254854,0.293721940480437,NA,NA,NA,NA,NA,NA,NA,NA
-0.17479562562557,0.196156597296705,0.24212197007655,0.366112690178029,NA,NA,NA,NA,NA,NA,NA,NA
-0.181137060969879,0.210216350390278,0.177577217552566,0.279599852627462,NA,NA,NA,NA,NA,NA,NA,NA
-0.106737689550582,0.419902358484262,-7.83428540741571e-11,3.08198063258036e-10,NA,0.166197331485164,NA,NA,NA,NA,NA,NA
-0.171970266338994,0.203794184783246,0.199279995946182,0.310003203006241,NA,NA,NA,NA,NA,NA,NA,NA
-0.188496645389399,0.184449612359895,0.356703195011313,0.510974145638849,NA,NA,NA,NA,NA,NA,NA,NA
-0.134605324949397,0.222349465545047,0.116498812122112,0.191773364877514,NA,NA,NA,NA,NA,NA,NA,NA
-0.179439860599782,0.192360816057975,0.229723280063842,0.344190292829167,NA,NA,NA,NA,NA,NA,NA,NA
-0.152775519907766,0.207209381767024,0.205733058605124,0.307052776911815,NA,NA,NA,NA,NA,NA,NA,NA
-0.165347475504776,0.177874838461455,0.298495460188616,0.428501608093687,NA,NA,NA,NA,NA,NA,NA,NA
-0.153011127444685,0.217640895270173,0.161031727902027,0.253873064678099,NA,NA,NA,NA,NA,NA,NA,NA
-0.216613258952336,0.405004807814901,-2.02001644540452e-10,3.77685270149608e-10,NA,0.14044425089583,NA,NA,NA,NA,NA,NA
-2.93736647346118e-73,0,0,0,-0.390000018518628,6.6407478032764e-05,9.8786924021809e-07,2.10967129662164e-26,5.66042595584601e-15,2.10967129662164e-26,9.41122485321261,2.10967129662164e-26
-0.181251149815499,0.223067463969701,0.171725626519345,0.270492473741026,NA,NA,NA,NA,NA,NA,NA,NA
-0.209289510869115,0.175507691750053,0.279512435952718,0.438711253792287,NA,NA,NA,NA,NA,NA,NA,NA
-0.173420927831522,0.208591034431195,0.168148649304325,0.267228936350233,NA,NA,NA,NA,NA,NA,NA,NA
-0.181898159145988,0.185221042783102,0.303698210186118,0.487115118920842,NA,NA,NA,NA,NA,NA,NA,NA
-0.146320603443936,0.363052944327039,-1.16052008367488e-10,2.879500380753e-10,NA,0.146165854321497,NA,NA,NA,NA,NA,NA
