Group.1,sigma,theta,alpha
AF,3.04880066035652e-06,0.22335941274932,8.02199220965936e-10
AFother,0.0668016522138354,3.21626832763467e-10,NA
other,0.25040891398273,4.10480979410263e-10,NA
