theta_1,se_1,theta_2,se_2,theta_3,se_3,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
4.61219009569608,0.871049801828987,5.51168409841316,1.08766764121047,7.2336921167203,0.694532423950018,0.291139456353041,0.632726770518398,0.291139456353041,1.07412862426345,0.291139456353041,3.08788046591612
4.9664749687161,1.1515162392943,5.982825947949,0.964223085768857,6.80881412605553,0.794978498038754,0.184250290831136,0.831512620229623,0.184250290831136,0.000774648600244867,0.184250290831136,2.67237040576254
6.52998667120879,0.412179500604104,0.350748856645889,2.55398209157729,6.52998667120879,0.412179500604104,0.350748856645889,2.55398209157729,6.52998667120879,0.412179500604104,0.350748856645889,2.55398209157729
6.47612812922802,1.03041009810488,8.46073519187604e-10,1.34617889040123e-10,8.84637154683644e-10,1.40753709493617e-10,2.88179103292034e-09,4.58518812737448e-10,NA,0.377823131604711,NA,0.523239120007694
6.45952667304786,0.817918887123009,1.1555887262314e-09,1.46323081050939e-10,1.52218004843203e-09,1.9274164721839e-10,5.1305454646327e-09,6.4964048438341e-10,NA,0.172816663992748,NA,0.206377535734439
6.66025872557008,1.0709108561416,9.33444107652945e-10,1.50089579050399e-10,1.63574260030891e-09,2.63012982033311e-10,4.26557236736219e-09,6.858664121154e-10,NA,0.38586405030365,NA,0.000294894513575002
6.33468861196495,0.947554025576896,7.51148022217429e-10,1.1235806143827e-10,9.25538074877806e-10,1.38443636679816e-10,2.94710247055327e-09,4.40832846067043e-10,NA,0.457202557470084,NA,0.000664558400580739
6.58619024123705,0.863446922507489,7.6365469106954e-10,1.00114826433947e-10,1.43637836490691e-09,1.88308632655327e-10,3.00009332353001e-09,3.93311042128464e-10,NA,0.316265138647171,NA,0.144972522106167
6.07154646662062,0.948416600681589,1.38838821234987e-10,2.16875624030893e-11,2.69092986900057e-09,4.20341435754523e-10,3.66274345232179e-09,5.72145286759606e-10,NA,0.258660941147796,NA,0.000980670000007168
6.30636368469066,0.863246106817206,7.4224114211217e-10,1.01601621518172e-10,8.84195828122848e-10,1.21033077769365e-10,2.68032696140933e-09,3.66896349484369e-10,NA,0.391699293774512,NA,0.137048684559259
6.28321818179102,0.928286349721109,1.09119435454483e-09,1.61213695738315e-10,1.00523634088389e-09,1.48514208242904e-10,3.14437864083882e-09,4.64552349798121e-10,NA,0.296472494212271,NA,0.100834861958978
6.12113818320026,1.00508088911424,1.17232315771065e-09,1.9249354718292e-10,1.44620352711647e-09,2.37464256380244e-10,2.73427019254983e-09,4.48962698432295e-10,NA,0.273070975250582,NA,0.276455158359392
6.2346177840206,0.93150604869974,1.08535354676152e-09,1.62161246897484e-10,1.15557986269165e-09,1.72653668459422e-10,2.36954162789215e-09,3.54030100238892e-10,NA,0.493408801732185,NA,0.000639582179788024
6.6615153833131,1.00718674933728,3.90946957620059e-10,5.91091625180353e-11,1.4040384034675e-09,2.12283361091606e-10,4.9974489750906e-09,7.55588495796148e-10,NA,0.293436370730543,NA,0.289611521158123
5.17706348797318,1.46613717466294,6.02684308641135,1.38145056488214,6.7624402966228,0.827496178074537,0.216744538411345,0.996723271530393,0.216744538411345,0.00053815262978528,0.216744538411345,3.40725333237829
6.34139893359712,0.928069225589973,8.70004673541948e-10,1.27325937397811e-10,5.68768972640029e-10,8.32398317003865e-11,2.81278858615249e-09,4.11654045461241e-10,NA,0.2865807530544,NA,0.986429797620869
6.49168621146298,1.09269609676885,7.39479281351679e-10,1.24470915268148e-10,1.11933855748201e-09,1.88409734063197e-10,3.70231452970844e-09,6.23182406518584e-10,NA,0.260617180890199,NA,0.378196100192388
6.6240536292275,1.03174561864629,3.50096309885973e-10,5.45301040793669e-11,1.47476925750796e-09,2.29706280340839e-10,3.21962467566803e-09,5.01480488948483e-10,NA,0.41614161012805,NA,0.0718580593399732
6.64266682747282,0.904022519361138,7.13867989319099e-10,9.71526579545531e-11,1.27345416516183e-09,1.73308593157081e-10,3.50793638331275e-09,4.77406675566699e-10,NA,0.262232440438623,NA,0.34370012941998
6.42727604081723,1.01613563774142,7.02241985278431e-10,1.11022632765118e-10,7.1671592372282e-10,1.13310924815813e-10,2.50147957327468e-09,3.95477419258845e-10,NA,0.362012345809701,NA,0.291713994819163
6.19667283411914,0.926466917894067,1.39886040357233e-10,2.09144152250398e-11,1.68930452480558e-09,2.5256856354642e-10,2.08100580677061e-09,3.11131971548229e-10,NA,0.388776646041843,NA,0.000467924709935646
6.46871838605392,0.970794801285598,5.99824163949578e-10,9.00187866120648e-11,8.59576956135408e-10,1.29001262772578e-10,3.35988640228436e-09,5.04235933238328e-10,NA,0.409495973234137,NA,0.293378185826573
6.67449755950609,0.797775293205346,5.1024623273642e-09,6.0987637541116e-10,NA,0.691569843652844,6.67449755950609,0.797775293205346,5.1024623273642e-09,6.0987637541116e-10,NA,0.691569843652844
6.80197777914761,1.05016034853777,3.98530542950096e-10,6.15293062512578e-11,1.13038639895262e-09,1.74520854558745e-10,4.41394688666622e-09,6.814712060864e-10,NA,0.33033350210527,NA,0.21562173800304
4.74599429360939,1.2075438898034,6.36004075638547,0.760005755481366,6.63870152498962,0.824433178518465,0.28445952417764,1.28372535460898,0.28445952417764,0.00081063466517227,0.28445952417764,4.78547678404629
4.12986493111799,1.2188979177256,7.51627978052052,1.20269599796004,6.7016326696102,0.884179604472212,0.166865383344548,0.637338566339636,0.166865383344548,0.000809416987991946,0.166865383344548,2.93767586273243
6.55038967643125,1.05893538639606,5.71427633076438e-10,9.23769380631498e-11,7.570504224726e-10,1.22384700947911e-10,5.21846650285246e-09,8.43616809924451e-10,NA,0.253712447459093,NA,0.699960390315294
6.22874337458679,0.872243372217919,1.12269718364443e-09,1.57217133304443e-10,1.29274382187354e-09,1.81029649608844e-10,2.84247993005167e-09,3.98047267409616e-10,NA,0.296322688232534,NA,0.139381338750145
5.36900355334719,1.35379150990567,7.32856088831906,1.15514048319571,6.79005093444834,0.868322277550328,0.224403187592529,0.830602318718588,0.224403187592529,0.000567168508645706,0.224403187592529,4.16311443493352
3.42813435442315,1.35392877552335,6.97124649093038,1.39395395825116,6.84805784995575,0.753557456335094,0.150742962230278,0.682527581018667,0.150742962230278,0.000489187755327318,0.150742962230278,1.97821256104038
