,(Intercept),theta_clean,,
flower_size,-0.000673051274266533,-0.00196747466820452,0.146371421280697,0
herkogamy,-0.00654627798381123,0.00110508616660626,0.00695818789709601,0.124
pore_size,0.14421985390861,-0.694081357183292,0.550957642566975,0
stigma_size,-0.0262130703088296,0.0435972227775418,0.120261643200612,0
