species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.59319430695002,2.9309752942935,0.351444598352463,11.1727250028911,2.9309752942935,0.21267
alborufescens,7.92680072881869,23.1978240306387,5.77048689797421,25.3541378614832,7.92680072881869,12.01147
amnicola,1.48685391807591,4.53725062799291,0.067347203548657,5.95675734252016,1.48685391807591,3.17785
argyrophylla,9.31047901524418,4.5521919663615,4.06053209705943,9.80213888454625,4.5521919663615,0.4453
budlejoides,3.90989682910614,2.86445690314854,1.39242853430146,5.38192519795322,2.86445690314854,3.19335
burchellii,1.45278052973783,6.1415653790714,1.3804867264688,6.21385918234044,1.45278052973783,1.68993
capixaba,0.0140895432567916,5.16226576927469,0,5.17635531253148,0.0140895432567916,7.42691
castaneiflora,2.43300662587402,2.89789624343437,1.40508179376626,3.92582107554213,2.43300662587402,2.29164
chrysophylla,13.9494732665281,3.62232090401496,3.24004662795045,14.3317475425926,3.62232090401496,0.26735
cinerascens,4.70101325072481,3.12843269465045,2.04728221535418,5.78216373002109,3.12843269465045,3.70195
cipoensis,0.0658074335799867,0.919135554725091,0.0638650654105656,0.921077922894512,0.0658074335799867,6.06414
corallina,1.95378929509736,1.69316841216129,1.08394831449015,2.5630093927685,1.69316841216129,0.57702
cowanii,4.53725062799291,1.48685391807591,0.0646261044153779,5.95947844165343,1.48685391807591,3.17785
cubatanensis,5.16226576927469,0.0140895432567916,0,5.17635531253148,0.0140895432567916,7.42691
cyathanthera,0.919135554725091,0.0658074335799867,0.0638262180471772,0.9211167702579,0.0658074335799867,6.06414
dichrophylla,3.62232090401496,13.9494732665281,3.25157248552023,14.3202216850228,3.62232090401496,0.26735
discolor,2.86445690314854,3.90989682910614,1.36286288147024,5.41149085078445,2.86445690314854,3.19335
dispar,4.29511355061216,6.21061002264295,0.743385037605952,9.76233853564916,4.29511355061216,4.70804
fallax,3.05217524884861,13.613411613205,2.9292329883871,13.7363538736665,3.05217524884861,8.24353
fasciculata,3.58618070032516,0.700687545139457,0.666729435827878,3.62013880963674,0.700687545139457,2.12786
ferruginata,6.1415653790714,1.45278052973783,1.39023420556125,6.20411170324798,1.45278052973783,1.68993
flammea,5.21908556832803,2.61852885295546,2.19104476562555,5.64656965565794,2.61852885295546,0.48001
formosa,3.12843269465045,4.70101325072481,2.05737244742783,5.77207349794743,3.12843269465045,3.70195
heliotropoides,1.52966860679217,1.57653924138399,0.904960294343572,2.20124755383259,1.52966860679217,5.15843
hyemalis,2.02385796452248,0.693683662133454,0.523638274445244,2.19390335221069,0.693683662133454,0.71123
hypoleuca,7.42911813623527,11.1682384761036,1.79710122767623,16.8002553846626,7.42911813623527,6.80523
lepidota,3.07946321531005,2.07934969515913,1.30729597336559,3.85151693710359,2.07934969515913,1.55846
longispicata,11.9942826523076,28.7119065415624,8.0257321694402,32.6804570244298,11.9942826523076,14.85816
lourteigiana,2.9309752942935,8.59319430695002,0.349949089423304,11.1742205118202,2.9309752942935,0.21267
lymanii,0.693683662133454,2.02385796452248,0.525973226037381,2.19156840061855,0.693683662133454,0.71123
macrothyrsa,1.57653924138399,1.52966860679217,0.896934750761242,2.20927309741492,1.52966860679217,5.15843
macuxi,1.65407957539865,11.0429914898612,1.4963096840283,11.2007613812315,1.65407957539865,5.47843
mayarae,4.5521919663615,9.31047901524418,4.07210056457242,9.79057041703326,4.5521919663615,0.4453
multispicata,4.34802435945514,14.3142003354562,2.79007356567052,15.8721511292408,4.34802435945514,7.01359
navioensis,2.22396325637115,10.1670419438901,1.47916505512865,10.9118401451326,2.22396325637115,4.18291
pepericarpa,1.8497914520163,5.65185656133163,1.62839403625025,5.87325397709767,1.8497914520163,5.18781
petroniana,2.88799741206355,0.190257355246526,0.180449338842409,2.89780542846767,0.190257355246526,1.58113
polyandra,2.07934969515913,3.07946321531005,1.25171777117075,3.90709513929843,2.07934969515913,1.55846
pterocaulon,2.00850720390337,9.80213888454625,0.804144028131054,11.0065020603186,2.00850720390337,4.74273
punctata,12.1915231091193,15.8790026204443,9.48013062600131,18.5903951035623,12.1915231091193,4.70886
racemifera,0.700687545139457,3.58618070032516,0.669884014288517,3.6169842311761,0.700687545139457,2.12786
rufescens,3.70341090191224,15.663815312888,1.44178592364522,17.925440291155,3.70341090191224,4.89826
ruficalyx,12.071526984389,1.86760748392797,0.697760601441411,13.2413738668755,1.86760748392797,4.84804
sclerophylla,1.69316841216129,1.95378929509736,1.07963742857304,2.56732027868561,1.69316841216129,0.57702
secundiflora,0.993761565938479,9.64620254874418,0.456255310147855,10.1837088045348,0.993761565938479,1.53334
serialis,9.64620254874418,0.993761565938479,0.460422025309023,10.1795420893736,0.993761565938479,1.53334
shepherdii,0.190257355246526,2.88799741206355,0.179450374208657,2.89880439310142,0.190257355246526,1.58113
stenostachya,3.78121412679725,11.1857130543456,1.26819421968082,13.6987329614621,3.78121412679725,6.68174
tiliifolia,15.663815312888,3.70341090191224,1.44178592364522,17.925440291155,3.70341090191224,4.89826
valtheri,1.86760748392797,12.071526984389,0.740455743138001,13.1986787251789,1.86760748392797,4.84804
willdenowii,2.61852885295546,5.21908556832803,2.18047095427817,5.65714346700532,2.61852885295546,0.48001
