theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
0.276861221154007,0.0242986494975148,0.518682106321924,0.0400500158333448,1.48846242889136,0.00390225974592695,0.973862340920668,0.080446051444458
0.491090513115129,0.0466261580602715,0.223297049693038,0.0198555709088161,NA,NA,NA,NA
0.468345936255118,0.0303067792775592,35.0138502775596,3.23687350801875,NA,NA,NA,NA
0.290641371855855,0.0195815567883102,0.519650797759291,0.0428182693586022,1.45264436729642,0.000590678366402156,0.603715038602975,0.0491075231687365
0.273654940063326,0.026437826336772,0.518631533165914,0.0390986318726133,0.489375757804428,0.00145760531874334,0.267740425566426,0.0192435412140321
0.296002166451125,0.0331355326744778,0.506563161276673,0.0504340671901776,0.534687349267591,0.0015074198033211,0.245296135323873,0.0233949166580669
0.286103739400843,0.0298308787402688,0.518904170165577,0.039154730811709,1.17180755109871,0.00381455182638809,0.738392419519599,0.0557258681204449
0.287853059487765,0.0268990411275035,0.516692788529123,0.0463072770947944,0.696300385403499,0.001363272431859,0.3241453042223,0.0277437234545649
0.48842043568869,0.0498885546195335,0.125819707908469,0.0103996098054737,NA,NA,NA,NA
0.267616439627422,0.0240265141855621,0.519917330500601,0.0413847561897225,1.17643703312782,0.00473387717079468,0.761607835213418,0.0684039559759016
0.286152994838154,0.0200374096577361,0.516423447120011,0.0412954758401775,1.00640417837365,0.00053822321428257,0.387430674641419,0.0260860086055991
0.491212325699097,0.103040073695384,8.19022178313184e-11,1.71803721519889e-11,3.47651849473942e-10,7.29258414661103e-11,NA,0.00389672596840769
0.288990479791893,0.030689089579609,0.519959496741309,0.0484404617333162,0.987277845639397,0.00578193359613749,0.609354479493513,0.065501138480717
1.33806881088072e-23,0,0.644984702539222,0.00058537350302375,0.0139461536154399,1.60902122332797e-11,4.74088291629153,1.60902122332797e-11
0.292856104641914,0.0250475478758276,0.518197220533963,0.0485796621043995,1.47541217816037,0.000622795178340649,0.854774408869049,0.0971576939293368
0.28673332947505,0.0278401711053338,0.519287261303963,0.0423419629759665,0.945614110046963,0.00619664664957864,0.521280999831433,0.0424200181515632
0.290847625331939,0.0254392206253609,0.5133298213767,0.0434665121858061,0.73458862817117,0.000654482278768687,0.326330598240538,0.024643435305308
0.291827071701512,0.0272104550947502,0.514374615447162,0.0423428760635341,0.919050445695392,0.000749515198360882,0.455735254520834,0.0364209715052074
0.495491011274121,0.0431928019541871,0.248492483141702,0.0213764620587214,NA,NA,NA,NA
0.291975879671711,0.0272566863204009,0.512971000841449,0.0468260894417561,0.925229812220169,0.00282226783238499,0.437869464358174,0.0374581051327461
6.95321387550632e-36,0,0.498719964564724,110645362.981892,2.41013095771703e-07,0.025428995969969,10.4260537380058,0.025428995969969
