theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
4.67308462329259,0.813958736473318,6.86265432834469,0.47529801931182,0.331111710532004,0.664051506761826,0.331111710532004,2.53934976672538
4.76869678795428,0.948911105389322,6.68402141623421,0.490620133092171,0.206023863514263,0.49665657879401,0.206023863514263,1.62942478650182
4.78530849340759,0.567663983266021,6.77213441920979,0.410196887268556,0.50784986478756,1.04169927224993,0.50784986478756,3.73449807729893
4.70577390264656,1.1204366837111,6.80223223830607,0.512792263652129,0.224182140765813,0.609392875655226,0.224182140765813,1.8246772948555
6.57662805622799,0.767657971221633,9.29923293090861e-10,1.08545446460189e-10,7.01994379427102e-09,8.19404072288496e-10,NA,0.157258358822145
4.74476980111138,0.817440241180944,6.79342664423575,0.461415927803535,0.205532144333087,0.437521212385812,0.205532144333087,1.56443101617012
6.54413852379843,0.827450797659142,4.77666934319372e-09,6.03969314495116e-10,NA,0.700244169333157,NA,NA
4.5417746659261,1.06744546343658,6.82307758583576,0.462392215705827,0.212745111558971,0.495148782277371,0.212745111558971,1.57042297172294
6.58897708130328,0.877252480636373,1.11869094068895e-09,1.48941844944269e-10,5.92712744225036e-09,7.89134214249473e-10,NA,0.170111757650372
6.47261377488534,0.808029558933391,5.80824517899565e-10,7.25090968407732e-11,3.83947550647303e-09,4.79313274039114e-10,NA,0.311599829743646
6.48217554806673,0.918869610444245,7.99383206342522e-10,1.13315187156061e-10,4.607375742453e-09,6.53110598786651e-10,NA,0.232207363951218
6.36732852080992,0.956119113921527,1.12993183407675e-09,1.69670752884566e-10,4.43815292456617e-09,6.66433784249707e-10,NA,0.266619027216841
6.4959875706881,0.899685188231191,7.90993508025038e-10,1.09551493966571e-10,4.01276344630389e-09,5.55762121960579e-10,NA,0.315133189277831
6.61615014986859,0.915547947968177,3.61335794072932e-10,5.00019251826528e-11,6.38484174442686e-09,8.83539312862735e-10,NA,0.273535459279253
