V1,V2
model,aicc
OU,-39.0995379262194
OU,-27.340833732457
OU,-27.4047338742882
OU,-27.2370849043402
OU,-26.6828709289125
OU,-27.3333514509516
OU,-27.6285904006032
OU,-26.5324779756007
OU,-26.8238358353144
OU,-26.629508446056
OU,-27.2169348710991
OU,-25.9259270914618
OU,-26.3734252045627
OU,-27.0042538876292
OU,-28.5327197940467
OU,-26.5972037163411
OU,-26.6521059965113
OU,-27.1262994844072
OU,-26.8349837258515
OU,-26.5715308565301
OU,-26.7837759616948
OU,-25.4892396514686
OU,-27.2989229906908
OU,-26.9404704537615
OU,-25.7598697100835
OU,-26.8015555062893
OU,-26.3869538402194
OU,-26.876783439107
BM,-31.5286419943089
OU,-25.7468784834576
OU,-27.6019616604248
OU,-26.8451314248396
OU,-27.4403192283152
OU,-26.8236438924326
OU,-27.4942503033648
OU,-27.0048151208342
OU,-26.3210257646888
OU,-30.3574703412449
OU,-27.2284778470254
OU,-27.3335530315505
OU,-27.0461533912072
OU,-26.7597128213761
OU,-27.1912716278588
OU,-26.4490808395372
OU,-30.6790972717295
OU,-33.458208574435
OU,-26.1858839964692
OU,-27.026248159615
OU,-27.4515247882487
OU,-29.4846831003582
OU,-25.3946141416608
