intercept,angular,t_value,p_value,r2,shapiro_w,shapiro_p
0.532586491476743,-0.000104692529677246,-1.26276209283338,0.212774877372713,0.989435618802863,0.919922537280178,0.00234276755892614
0.520649686787309,-5.99466362412133e-05,-0.642889677737495,0.523355017407315,0.987205738600781,0.925200108621606,0.00365375984721469
0.515653942538889,-6.13002925343518e-05,-0.671491715497978,0.505126322904679,0.987418783754581,0.917842373414081,0.00197212987014754
0.515377642658355,-6.06630658914394e-05,-0.662738545488225,0.51066803968883,0.987220337550147,0.920319521976068,0.00242150143670545
0.520489105997601,-6.78837763722518e-05,-0.73725062905428,0.464558663726168,0.987334291437786,0.921319731155891,0.00263251291999929
0.524819958310721,-8.12282356722639e-05,-0.886495203439539,0.379770825851833,0.987955094034597,0.90999061709813,0.00104463552223344
0.52673531401496,-6.95795247010252e-05,-0.766238930282375,0.447286145871016,0.987732461896433,0.922399139658629,0.00288215874683528
0.52520669925278,-7.5374853579571e-05,-0.819957212263421,0.416293689525043,0.987770148488723,0.921592035488864,0.00269325989014047
0.521838486977627,-6.74146111823871e-05,-0.738521401704165,0.463793541256464,0.987308684814031,0.920773238805454,0.00251491900835254
0.521882274846322,-6.8312491798453e-05,-0.743290780464091,0.460928400922727,0.987470930209263,0.925389588811391,0.00371327778691597
0.522007796317652,-6.05271094065051e-05,-0.655805677055292,0.515080464005318,0.987337391007383,0.927671954622015,0.00451614873805431
0.522655472410705,-7.2243861637764e-05,-0.781177964004752,0.438533848227121,0.987569064649564,0.924180068851975,0.00335017720614511
0.521198507124581,-6.73677730035949e-05,-0.728746457564748,0.4696975660154,0.987309211509827,0.91839779387308,0.00206460007574338
0.522499300315793,-6.50934226611039e-05,-0.708660526575048,0.48196285337186,0.987452599021034,0.926184865197115,0.00397445515640884
0.516081146935704,-4.03012060801193e-05,-0.432051610222369,0.667638637323137,0.987258783202001,0.931103004195617,0.00608485484184625
0.516241490586974,-6.00955524261366e-05,-0.655363054100001,0.515362863541393,0.987240353034246,0.919378045897723,0.00223914551904844
0.52079728198568,-6.77058021308314e-05,-0.73558967208468,0.465559804542157,0.987340595271521,0.922139650884024,0.0028199467913825
0.508658055146191,-4.94282810517284e-05,-0.524994870516572,0.602003369095964,0.987245196615202,0.921750229542988,0.00272922821104326
0.519631973910641,-6.7694638019677e-05,-0.732979359998018,0.467135664703312,0.987324387018914,0.91840459607243,0.00206576052340765
0.526102189637358,-7.57066930939601e-05,-0.821870014156393,0.415214734897521,0.987820152161944,0.920902151804819,0.00254214968819586
0.519645896550584,-6.18931546997754e-05,-0.674332980975704,0.503334540097283,0.98726722615225,0.918394301710395,0.00206400458404242
0.521328410807036,-6.8191830874097e-05,-0.74242084705679,0.461450239589821,0.987581102961373,0.92448003335599,0.00343658988897783
0.517037681390922,-6.30813335392655e-05,-0.685922093202701,0.496062120569411,0.987248836199762,0.921229239780784,0.00261264710166293
0.517191735664892,-6.47528421310421e-05,-0.703643046705259,0.48505455456513,0.987302821525082,0.918413227402209,0.0020672340100475
0.521221449226894,-6.90010837324376e-05,-0.750061184752557,0.456878750347754,0.98743052262925,0.924494654108441,0.00344086138958952
0.51705587274131,-6.23640173633284e-05,-0.668980200979976,0.506713037085779,0.987269991221221,0.918860776431638,0.00214517787190964
0.527558913393017,-7.84512437120745e-05,-0.812048461417086,0.420772865682351,0.988020697102666,0.910726197704331,0.00110764668727363
0.519685851195757,-6.57140170115391e-05,-0.701389078211689,0.486447017268543,0.987280800327456,0.919632343550561,0.00228692542125202
0.455026361332904,9.93505889267558e-05,1.11417691534195,0.27075129805833,0.983619161773804,0.954407144314396,0.051900057850504
0.521380226573502,-6.87153600431904e-05,-0.747118852779767,0.458636138859417,0.987465363100262,0.92515128251449,0.00363858652029691
0.521720409601857,-6.01404147549899e-05,-0.651535799589124,0.517808158593734,0.987244202359664,0.926677848439544,0.00414601807320448
0.527194505746075,-7.55767507137774e-05,-0.813487943490068,0.419955439027584,0.987488620205082,0.921774125068851,0.00273470520340323
0.526412559303732,-7.40356532911163e-05,-0.812910937252628,0.420282983090813,0.987516862551219,0.92349075754737,0.00316016867922232
0.513788500751661,-5.900970826793e-05,-0.639959609450521,0.525241893539577,0.987478501683402,0.918033797945144,0.00200349566531087
0.530821967544581,-7.89197747389905e-05,-0.856992177601061,0.395707770394094,0.987569767466314,0.921876041143087,0.00275819548363356
0.518930197224978,-5.97852013905936e-05,-0.6441014934097,0.522575694483886,0.987522948012272,0.926564822945526,0.00410600630413994
0.521009504035797,-6.8966024725249e-05,-0.750431157132622,0.456658050726018,0.98741635470329,0.924123600538359,0.00333416785099477
0.550788582087997,-0.000138391013548306,-1.49935435485733,0.140330612806087,0.990282480246171,0.918183394601709,0.00202837426986795
0.514213368329323,-6.06881218095398e-05,-0.659407533149142,0.512785516010743,0.987274746947376,0.918995231020589,0.00216919555497991
0.526130409174897,-7.26550598982444e-05,-0.792277709547207,0.432097103789348,0.987427770110511,0.922115573480855,0.00281424653747443
0.518204645639968,-5.73872017522338e-05,-0.624775284912097,0.53507735534237,0.987650600111165,0.920673428791738,0.00249404731758316
0.522841385929677,-6.93344243785613e-05,-0.747489567240224,0.458414504463343,0.987328318880725,0.918823383215808,0.002138548315782
0.525880447871153,-7.35738195715727e-05,-0.787301380138948,0.434975872009283,0.987484263653934,0.91407299325817,0.00144948662788846
0.521583333094035,-6.84426509156199e-05,-0.748320995607942,0.45791765418333,0.987731787343045,0.922970708063542,0.0030243542792171
