theta_1,se_1,theta_2,se_2,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2
0.11847166389067,0.0268346147978747,0.235672671426059,0.0171303672484126,1.16260820570802,0.0190979538365715,1.16260820570802,0.0190979538365715
0.105549591659063,0.0421863802501884,0.239226043726415,0.0196039772335644,0.363919231830174,0.00617693695524343,0.363919231830174,0.00617693695524343
0.107453200688856,0.0320706647485217,0.232194806692322,0.0174235774142038,1.04057260379563,0.017555462886616,1.04057260379563,0.017555462886616
0.106545505215983,0.0290554886341633,0.230891904700953,0.0166839330862137,1.15571120914459,0.0189557087194047,1.15571120914459,0.0189557087194047
0.0974699838350152,0.0318539954973418,0.241832047133915,0.0164335591120726,0.41576508068394,0.00465407003225573,0.332732690502554,0.00465407003225573
0.111194219955482,0.0356731287154053,0.240905291611086,0.0183608229033106,0.39668491194402,0.00644906592673981,0.39668491194402,0.00644906592673981
0.117363626898803,0.0324809986898783,0.231047569823049,0.0179686029937042,0.684133725186488,0.011551946285116,0.684133725186488,0.011551946285116
0.108708516484972,0.0377603777439629,0.243157969218349,0.0187551656008563,0.482440112544333,0.00463507117182999,0.327930462437845,0.00463507117182999
0.106493247359496,0.0378333037672902,0.235889652910818,0.0191620809978492,0.28115476866102,0.00441978651589682,0.28115476866102,0.00441978651589682
0.0999679873389596,0.0318763259397386,0.233830369186777,0.0172907164667775,0.678900658097223,0.0109253559243044,0.678900658097223,0.0109253559243044
0.111790521097255,0.0365254479495322,0.235715031905545,0.0190830304805092,0.42718963836028,0.00676620491843373,0.42718963836028,0.00676620491843373
0.124655284376165,0.0348739558049283,0.231261563779574,0.0190227726192113,0.428171236922046,0.00690438790725202,0.428171236922046,0.00690438790725202
0.108476649235165,0.0317295177362251,0.233279674212173,0.0177188244648125,0.690127409376473,0.0114359380352434,0.690127409376473,0.0114359380352434
0.0950434364932819,0.0464259387617339,0.228643594801075,0.0182065152378037,0.377718426560692,0.00610361746167244,0.377718426560692,0.00610361746167244
0.106623968895676,0.0308500592215923,0.231289973559106,0.0173194926085129,1.01974624045016,0.0177980824425581,1.01974624045016,0.0177980824425581
0.1081808988705,0.0300515455741521,0.226455157928716,0.016580326102056,1.6870655064316,0.0309975148604069,1.6870655064316,0.0309975148604069
0.0979636266680099,0.0316258457191718,0.233228573273961,0.0172485646955782,0.64164269977506,0.0103346958623524,0.64164269977506,0.0103346958623524
0.102169980955771,0.0311761466182236,0.230710038432484,0.0167841276626108,0.771467510829054,0.0122815473044478,0.771467510829054,0.0122815473044478
0.104635751310224,0.0299893140473619,0.230428614701869,0.0174923280391197,0.76983252583807,0.013421777949804,0.76983252583807,0.013421777949804
0.109547984762013,0.0290666644816752,0.233329676126215,0.0171952722642381,0.797444311622147,0.0124941966874601,0.797444311622147,0.0124941966874601
0.113137269692918,0.031253709029295,0.235706541069358,0.018799062322026,0.57746541971389,0.0093289542775895,0.57746541971389,0.0093289542775895
0.117019832891252,0.0305873704464756,0.232639928633859,0.0170830326279415,0.798375906650102,0.0128713875440733,0.798375906650102,0.0128713875440733
0.116712705820717,0.0297417370981451,0.233424394090845,0.0173011051617342,0.932041148001613,0.0159869906116139,0.932041148001613,0.0159869906116139
0.108416918343659,0.0370738748159377,0.229151570764757,0.0174349889757609,0.514679540419389,0.00796244872443825,0.514679540419389,0.00796244872443825
0.0986392901824145,0.0358975533515169,0.231269898405604,0.0178623022866633,0.762901180085149,0.0124685017915645,0.762901180085149,0.0124685017915645
0.113520419654824,0.0302018287661555,0.2273457222856,0.0175664516713137,0.652344431400367,0.0105633717244185,0.652344431400367,0.0105633717244185
0.114652046448265,0.0351654345215106,0.235323342843744,0.0180942735134906,0.452893886048096,0.0072646625145254,0.452893886048096,0.0072646625145254
0.114831398364918,0.028404788516301,0.224391816412731,0.0166954047182039,1.11319647432366,0.0196019850235747,1.11319647432366,0.0196019850235747
0.108952645454204,0.0426782238436497,0.234240276973753,0.0194701584490068,0.472660498029466,0.00791421832996229,0.472660498029466,0.00791421832996229
0.102084924759916,0.0353963339286634,0.234988432203726,0.0172768744625793,0.503953898395273,0.00785255726307291,0.503953898395273,0.00785255726307291
0.103347164852517,0.0384010840925761,0.23967253036342,0.0185641789011479,0.505069247239504,0.00832205218129356,0.505069247239504,0.00832205218129356
0.11338743394909,0.031213008138526,0.227989570370078,0.01737647062091,0.765467082928249,0.0127659579987049,0.765467082928249,0.0127659579987049
0.119162403732226,0.0256252004694626,0.22058241873877,0.0148889088055644,49.2046874298903,0.824973986843396,49.2046874298903,0.824973986843396
0.104217716870522,0.0288297586442629,0.232640317010913,0.0166010096266214,0.955754244605344,0.0150143192415929,0.955754244605344,0.0150143192415929
0.113864788610602,0.0361333219763121,0.231525343683159,0.0186205393168345,0.491572497453962,0.00811195153789431,0.491572497453962,0.00811195153789431
0.107943231836696,0.0256692241456635,0.234366738576606,0.0166882584368998,1.07136445513481,0.0166563288794856,1.07136445513481,0.0166563288794856
0.115681909822997,0.0304962473642195,0.230649591587759,0.0175696262970604,0.638610547467183,0.0103487474628427,0.638610547467183,0.0103487474628427
0.108587219591885,0.0286291565887602,0.23312824314035,0.0169658277051953,0.711630275875755,0.0113781977990163,0.711630275875755,0.0113781977990163
0.100938126289726,0.0357290548162333,0.234413212911441,0.0178454672314008,0.528360508940227,0.00852819103171836,0.528360508940227,0.00852819103171836
0.119896491117951,0.0299126626510062,0.230108124909673,0.0177127322378448,0.685370397295407,0.0117467244317811,0.685370397295407,0.0117467244317811
