V1,V2
model,aicc
BM,114.755404387533
BM,115.719011730387
BM,117.62492103456
BM,117.309985311736
OU,112.660524341008
OU,116.53793257571
BM,116.472891386267
OU,116.015105796291
OU,116.540393257576
BM,117.567018504271
BM,116.754339503045
OU,116.378723892799
BM,118.037181939382
BM,114.840362911583
OU,113.640979253662
OU,116.734355163071
OU,113.350814425706
BM,116.969013857136
BM,116.088682700036
BM,117.304591831659
OU,116.312732801543
BM,109.006919019823
BM,117.598945627212
BM,116.881198525182
OU,116.665526866691
BM,116.226104005682
BM,117.586609275694
BM,116.422722717293
BM,115.871850050569
OU,116.598282143286
BM,117.010643262496
OU,114.148617478317
BM,117.201736746689
BM,116.545137722793
BM,116.070648683971
BM,117.512052729683
BM,116.701268992469
OU,116.197107377492
BM,116.889216320137
BM,113.684948547503
BM,117.716412156828
OU,115.087320368567
BM,116.562299629928
OU,116.430907460268
OU,116.235945572626
BM,117.937319947544
BM,114.310458214306
BM,116.844406151189
OU,112.855961259027
BM,116.597758282045
BM,111.41714071169
