intercept,angular,t_value,p_value,r2,shapiro_w,shapiro_p
0.141564427909368,-0.000562423311986526,-1.47094087871484,0.147832823220006,0.800832189554619,0.986213317109766,0.822263503296836
0.225276898354335,-0.000677947753525958,-1.75854491996195,0.0850291471940506,0.801443477898855,0.989083801648858,0.922472316493973
0.210227092896681,-0.000738432598788088,-1.95563364495069,0.0563427984693626,0.804996194628615,0.990691994026744,0.960947039695825
0.199923904518083,-0.000722088357846016,-1.92411001790516,0.0602807783960768,0.806479172447354,0.989900234933331,0.943820764392212
0.220243707959531,-0.00103644812514261,-3.45837485995631,0.00114902292821367,0.838735756818253,0.993222865840521,0.992626044633746
0.202077569432673,-0.00106684922464334,-3.35067388530898,0.00157752980482424,0.821855428690024,0.992405847481412,0.985945648292187
0.19135825593557,-0.00071988137243803,-1.90774171067581,0.0624167877654589,0.805501235850199,0.990462211581974,0.956346287733343
0.202013030402089,-0.00103811856969169,-3.31492762973314,0.00175060276874847,0.825728134139958,0.991668757597963,0.977153140718229
0.228746301291913,-0.00110207561953693,-3.48884730408319,0.00104954567889993,0.824343517307891,0.991947276901514,0.980807794787357
0.209105508961008,-0.000731477102095562,-1.92862925673749,0.0597021583769375,0.805305606330643,0.990740874290961,0.96188665199668
0.191785272422473,-0.000735783361357736,-1.9431400025319,0.0578762974291536,0.812092168666589,0.991461424554191,0.974159906014241
0.185288589578837,-0.00101762144278514,-3.16506729151838,0.00269176750644902,0.824337620156062,0.992100573800713,0.982644572597647
0.213742854279225,-0.000736960553819289,-1.93924919316447,0.0583611131198435,0.805592035512468,0.990949048527603,0.965735134821271
0.187074301116354,-0.000746388735789064,-2.01942720639628,0.0490454936103767,0.812124333770749,0.991503433599517,0.974785467186036
0.251105260113506,-0.00124090520626952,-4.10843768306422,0.000154414141961214,0.844271708846245,0.98495522135572,0.769678186693029
0.22544988722072,-0.00109997227423168,-3.46291798609926,0.00113364193352208,0.823583726776663,0.991759570950785,0.97839041354556
0.231773909141017,-0.00106025379750083,-3.53931644593361,0.000902622288555717,0.838297169832928,0.993322307719289,0.993245012774113
0.200127873369286,-0.000715689110071892,-1.79141999329638,0.0795317103914423,0.804413083633137,0.99063772678737,0.95988782207799
0.175837432543218,-0.000780533693202696,-2.07288748960474,0.0435748079759897,0.82039823356027,0.991727595044167,0.977959843145878
0.197209790264001,-0.000707854338380952,-1.83909793206451,0.0720908543192387,0.803676781843494,0.990387003155587,0.954774630181876
0.202187058696259,-0.00106071353576575,-3.35146374304961,0.00157389546289971,0.822277305792076,0.992005064547652,0.981514550042793
0.196575591145017,-0.000692105920503843,-2.02847427868142,0.0480798505083728,0.813027996417162,0.989856127219708,0.942761719718383
0.213927216799807,-0.000738055409107635,-1.92807841069815,0.0597724306179973,0.806255225830883,0.990779120969335,0.962612307093212
0.198455782687868,-0.000726227885153555,-1.91172007292325,0.0618917702101889,0.806201620935658,0.989321063286444,0.929051488395521
0.203817266466368,-0.00107537592530337,-3.38700340073809,0.00141835325391815,0.821754696080818,0.992047917205242,0.982027403345313
0.172327757018037,-0.000703449637854902,-1.8560981619748,0.0695839365555635,0.80640191630879,0.989482545654169,0.933355614160368
0.413980069781104,-0.0011419866942186,-2.80938762746336,0.00715999371778103,0.811521914454974,0.991958571309801,0.980947302560552
0.312334854226214,-0.00076601161915238,-2.01445166604081,0.0495836816138908,0.797400814517804,0.990226508906926,0.951312331239115
0.137943576069746,-0.000595311899058637,-1.54665079684819,0.128515911641762,0.800702821470027,0.988084772033475,0.891611976991935
0.204308679208907,-0.0010782709455612,-3.39563604292841,0.00138284013318722,0.821815844643066,0.991827397398284,0.979285556545263
0.208097447193973,-0.000740219229771102,-1.93621509480541,0.0587415888137202,0.806081606428043,0.989332077921691,0.929349577199687
0.147113684615104,-0.0010029010740162,-3.16485114073167,0.00269341850780128,0.826619548278659,0.991539157143227,0.975309770213896
0.220946898880409,-0.000740106525161938,-1.97864088873334,0.0536100064172946,0.80375087926978,0.990567029343081,0.958482561176755
0.180991462996981,-0.000708540665919497,-1.8693789133985,0.0676772296808396,0.809576389229357,0.991393709071194,0.973130968034641
0.249705058445342,-0.000757414385495797,-2.02939038509414,0.0479829942763456,0.808029469629769,0.990305846764557,0.953042298285341
0.215964341740226,-0.000749110279824355,-1.96042157212963,0.0557644325181999,0.805626928943799,0.990881030231613,0.964504945196814
0.195222811733798,-0.000702473480268553,-1.87342981302958,0.0671045410274639,0.805444260976683,0.990370328911954,0.954421789283256
0.209025352656482,-0.00111889600517327,-3.57970928892239,0.000799408647382895,0.827337283979158,0.990491649723992,0.956952629835796
0.228959190482071,-0.000738542057595782,-1.95558670527806,0.0563484940293364,0.802770564195583,0.990797867295112,0.962964921242723
0.236382167307319,-0.000741820218627396,-2.04065808483723,0.0468054691754151,0.815537682978691,0.990431226531624,0.955702712148203
0.215213481916322,-0.000746982578006789,-1.96355582622767,0.055388593537803,0.805155577878988,0.990518604893868,0.95750346765762
0.166774618972963,-0.00103068658922467,-3.25338001843339,0.00209150255446047,0.824490858035368,0.990544229557273,0.958023249325144
0.174661524019826,-0.000673816316554605,-1.74201173308945,0.0879115264817555,0.806227304475073,0.990445933447008,0.956008869199024
0.188228102293451,-0.00102109945766326,-3.20266585122028,0.0024186562142893,0.824790836086454,0.992093912236103,0.982567284276851
0.206388059116226,-0.00107671139292028,-3.35433488168025,0.00156075145611986,0.821729653282882,0.992278795863019,0.984628435516645
0.20693305723238,-0.000736522911064943,-1.95001764775648,0.0570277493466424,0.805203411326267,0.990458400329012,0.956267423146296
