species,hvolume
albicans,8.7771438438298
alborufescens,7.83252183779955
amnicola,1.50039093164742
angelana,2.08562844919427e-05
argyrophylla,9.19695877994159
atlantica,2.78612493820501
baumgratziana,2.47245966788189
brunnea,7.99907383721823
budlejoides,3.83994120993199
burchellii,1.45212215584513
capixaba,0.0141462678821517
castaneiflora,2.41902519718994
chrysophylla,14.0634655950978
cinerascens,4.70361663938797
cipoensis,0.0660112013656219
corallina,1.95646993538292
cowanii,4.63792070626194
cubatanensis,5.16406442000746
cyathanthera,0.923284824514989
dichrophylla,3.66059132396524
discolor,2.88421189572369
dispar,4.34859119832293
dura,0.000153733967708257
fallax,3.04139793259192
fasciculata,3.56290842375161
ferruginata,6.13462547545858
flammea,5.24389799552672
formosa,3.10476774803502
heliotropoides,1.54233882461929
hyemalis,2.04442528434536
hypoleuca,7.35850203225795
kollmannii,0.000493245925405942
kriegeriana,0.194143938508626
lepidota,3.09617980737066
longispicata,12.2672645439842
lourteigiana,2.96010035497949
lymanii,0.70066423344295
macrothyrsa,1.60199059387288
macuxi,1.65050300933346
mayarae,4.6175313270466
mellina,0.212757313744456
multispicata,4.36622648172171
navioensis,2.25420897600451
octopetala,3.80139127182737
penduliflora,0.0117425974927636
pepericarpa,1.83915632306728
petroniana,2.89538017245178
polyandra,2.07077305906048
pterocaulon,2.02132740989679
punctata,12.1521222561046
racemifera,0.701741434403334
robusta,0.442587664412226
rondoniensis,1.35926421756017
rufescens,3.71014500985202
ruficalyx,12.0720670173846
ruschiana,0.353657516940368
sclerophylla,1.71484137921322
secundiflora,0.978234792832529
serialis,9.50196430716899
setosociliata,3.59055733089922
shepherdii,0.189737873092431
stenostachya,3.73405664771516
suberosa,0.000159495622779409
tiliifolia,15.6184444847644
valtheri,1.88951535222882
willdenowii,2.60679442521383
