species,temp_diurnal_range,precip_seasonality,solar_radiation,soil_pH
albicans,-0.462381771754511,-0.0146669364701756,-1.01629814393608,-1.17182721709771
albicans,-0.424526657815085,0.894262431300191,-0.772497296802595,0.0426093830668218
albicans,0.302824153017865,0.827325457095796,0.258995130439548,-0.595687309073135
albicans,0.149902967179109,0.244390285849822,-0.806411668833079,-0.52888107328042
albicans,1.00570242334356,0.803115482089363,-1.14199581288439,-0.318057702181652
albicans,-2.25166293969577,-1.66239988737452,0.323733375899822,-0.382272259716048
albicans,0.603997994798167,-0.0203586589815381,-0.0353682645439554,-0.297373409938277
albicans,-1.26007997110455,-0.461747305200661,0.702023021317773,0.670399945783421
albicans,-1.67523969689104,-0.152283326000096,1.07472791995889,0.570929734326622
albicans,0.176151239623369,0.244690733879547,-0.610933442334695,-0.675414874630087
albicans,0.797928892406386,0.311009064096838,-1.28851552651405,-0.546526271322618
albicans,-1.48967842730034,-0.47916049249174,-0.24928219657086,-0.293064688981194
albicans,0.395103655620305,0.305300556756631,0.318977285186114,-0.23893587056209
albicans,1.52040260782408,0.539947037305747,-0.603209553844116,-1.05090042212506
albicans,-0.677114840218605,-0.0213377962340355,-0.104134799764906,-0.2650986850154
albicans,1.42377296317747,0.383173415041427,-0.944389048040212,-0.965664659480703
albicans,0.77161415828164,0.622294420023747,0.362493638182676,-0.30515492569866
albicans,0.256301826765135,0.041469526669133,0.123432952237077,-0.117255057424194
albicans,1.20571533280931,0.237828362224986,-1.01634211065751,-0.974125752917059
albicans,0.941883513212715,0.663070614013521,-0.499382638705578,0.301064858361183
albicans,0.857779536074597,1.31982650650672,-0.0554216735190523,0.0196013983429988
albicans,0.927013424031317,0.963817477230826,-0.164392208174077,0.042911962231305
albicans,-2.30541119246388,-1.49773986624833,0.392749831576392,-0.18942189922826
albicans,-1.44412134799318,-0.418056423810942,0.601466382981722,0.500682529658881
albicans,-1.90351016709039,0.222500962887002,1.52686983807173,0.317428396497192
albicans,0.214780792465347,0.200339162007904,-1.22403108348463,-0.206073653267894
albicans,-0.23924038894085,-0.0238444651187595,-0.485791786703509,0.728718316998784
albicans,1.3060072468754,0.255390372737801,-0.456350458932261,-0.954120421258373
albicans,0.624959655425265,-0.379238479999178,-0.984175139796963,-0.0584469193201961
albicans,-0.141262522768389,-0.398723751953717,-0.109772224444799,-0.108755035814378
albicans,-0.177752413721215,-0.149270210742612,-1.26903413097759,-0.11160384886882
albicans,1.26290955270958,0.963806334374161,-0.334256920730919,-0.326206083144909
albicans,0.968886965279436,0.224830295413021,-1.32318653441322,-0.553710982765517
albicans,-0.236124164504492,0.396199854942616,-1.09949228041844,-0.286422575132974
albicans,-1.3194494395556,-0.648360732806346,0.96133693611802,0.875924199774672
albicans,1.22654388439788,0.345946070642465,-0.187244374884991,0.00109345186046875
albicans,0.621417195098802,0.781334568003303,-0.737355012909696,-0.737308559986356
albicans,1.24783082617336,0.38570230457395,-0.975843659379155,-0.238956282311129
albicans,-0.77482304658094,-0.0294743153814954,-1.22109585347282,-0.244184018471796
albicans,-0.225049763035613,0.330258577522829,-0.113531038126631,-0.773023691933298
albicans,0.825863199706321,0.699570380498203,-0.830475690114612,-0.49456023371675
albicans,0.672985730678088,0.639676819287519,-1.0704694640047,-0.91299985187873
albicans,0.310935038259196,-0.0115576128561246,0.095657802951169,-0.372022637595497
albicans,-0.198331534499537,0.153119286486796,-0.00250364132662514,-0.44104343828999
albicans,0.595270147424217,0.0549252484343169,-0.458784702340972,-0.104806574138854
albicans,-1.05404562062764,-0.531187657635924,-1.20908253376098,-0.398849819129707
albicans,0.829899667812954,1.08767761735408,-0.606040057844771,-0.306382614275106
albicans,0.123698837361688,-0.10958726650174,-0.124164213332354,0.341833788862861
albicans,0.418377168714912,0.0976925915677639,-0.54588554535153,-0.309610607881332
albicans,0.128778230966849,0.30904946465414,0.189569636611298,-0.0888468764179527
albicans,0.614366108090611,0.0580090108794976,-0.657624470262771,-0.440139977443142
albicans,-0.249129808050124,0.730227718286172,-0.492268374547775,-0.227540169493598
albicans,-0.235386693009652,-0.300158183195057,-1.2300367695311,-0.375540957391185
albicans,1.47522202679565,0.760412684664672,-0.203349464646476,-0.0634850027966043
albicans,-0.0120890847057584,-0.124926971739909,-0.993379094100936,0.0811100660618291
albicans,-0.321108950669885,0.251936589874738,-0.872977183764967,-0.718311815052648
albicans,-0.441879509650568,-0.320364339621117,-0.794003449521883,-0.529767006838359
albicans,0.712621578890778,0.458701535153006,0.110418299734058,-0.161316414464088
albicans,0.290265750900135,0.906091143556727,-0.271782443451176,-0.0687158205522905
albicans,-2.28596539989982,-1.6805957304714,0.310853833619384,-0.339996571822513
albicans,0.994206055893965,0.645654611398361,-0.792939337583659,-0.266084392241766
albicans,-1.10333834387529,-0.729949049035943,-0.77240902747384,-1.30181841780778
albicans,0.802905682645112,0.549682424917832,-0.129119189100598,0.292763020943326
albicans,1.33575737910205,0.251877938067928,-1.0199258311972,-0.188467058735957
