PC1,PC2,PC3,PC4
flower_size,-0.99649371686116,0.0135859042931958,-0.0811154988897127,-0.0153613573827413
herkogamy,0.00878128462496723,0.997306232378334,0.0489495070076548,0.0539176563231042
pore_size,-0.0301716154792665,-0.0613981752332909,0.174345646187284,0.982305213949784
stigma_size,-0.0775424716909241,-0.0377619668700105,0.980116226403338,-0.178699137331582
